ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3	1,3	105,168	5,0	99,131	180	99
4	2,4	1,7	3,6	2,6	158	99
5	1,0	4,11	0,0	3,9	120	99
7	0,0	12,23	1,0	5,20	150	99
8	87,134	6,11	79,122	9,12	134	99
9	2,1	228,265	8,9	122,186	198	99
10	2,2	508,743	0,1	426,723	106	99
13	193,218	1,4	175,260	0,1	198	99
14	10,17	0,1	0,5	0,0	198	99
15	8,6	8,8	3,7	8,10	192	99
16	3,3	9,9	1,5	11,18	198	99
18	2,2	9,9	1,1	11,18	134	99
19	31,33	0,0	12,32	0,1	105	99
20	3,3	86,68	4,8	38,77	198	99
21	184,225	18,15	148,186	19,41	120	99
22	32,40	18,15	32,48	19,41	186	99
23	2,1	154,186	3,12	119,150	165	99
24	54,70	0,2	29,61	0,1	198	99
25	3,9	1,3	4,11	1,0	103	99
26	57,51	3,0	35,62	0,0	102	99
27	3,0	54,44	0,0	44,38	198	99
28	0,1	2,4	0,0	0,2	114	99
29	155,139	1,1	36,73	0,0	198	99
30	582,614	5,3	423,652	0,0	111	99
31	11,9	25,37	3,8	16,47	129	99
32	3,11	160,250	3,4	112,202	198	99
33	6,13	109,177	10,15	66,131	138	99
34	1,4	59,77	2,2	44,54	198	99
35	2,1	114,146	0,4	88,120	198	99
36	4,1	26,9	0,1	4,11	111	99
37	100,129	5,11	64,107	4,13	198	99
38	2,3	264,317	2,3	223,355	138	99
39	63,57	6,0	11,32	0,5	198	99
40	155,139	7,4	117,124	4,6	111	99
41	34,30	0,1	11,37	0,0	105	99
42	9,21	184,302	15,30	209,274	198	99
43	18,8	209,206	7,18	112,178	127	99
44	43,53	144,137	28,43	84,111	198	99
45	2,4	135,200	0,6	131,238	107	99
46	5,4	2,0	2,4	0,1	198	99
48	83,135	0,1	83,129	0,0	198	99
49	77,79	4,1	57,101	0,0	117	99
52	87,70	0,0	58,64	2,0	120	99
53	68,118	0,2	57,111	0,1	198	99
54	26,20	49,68	14,36	33,83	198	99
55	169,179	4,5	143,224	16,12	198	99
56	5,8	171,205	4,0	103,149	198	99
57	185,222	0,2	151,214	0,0	107	99
58	2,3	163,214	2,3	150,221	101	99
59	14,10	67,42	6,16	44,72	154	99
60	7,7	9,9	4,8	6,16	154	99
61	1,0	248,243	0,0	176,330	198	99
62	14,17	1,2	6,3	3,6	119	99
63	16,31	2,1	10,15	0,1	103	99
64	12,33	12,14	2,10	19,29	111	99
65	13,32	3,3	11,20	0,0	140	99
66	37,93	113,195	12,17	92,180	117	99
67	2,3	220,340	3,0	151,271	107	99
68	9,19	34,89	9,13	40,40	198	99
69	6,19	17,26	2,7	10,11	183	99
71	8,11	1,8	3,9	0,2	198	99
72	12,28	1,1	10,27	0,3	198	99
73	25,56	1,1	35,38	0,3	198	99
75	3,2	0,1	1,1	0,0	103	99
76	27,46	8,6	15,31	3,9	198	99
77	19,12	552,711	12,28	418,662	103	99
78	5,2	22,41	3,7	25,16	127	99
79	27,43	17,40	25,19	14,30	198	99
80	4,1	6,14	0,1	5,8	127	99
81	3,2	1,0	1,1	1,8	131	99
83	184,246	0,1	145,193	0,0	198	99
84	9,8	1260,1557	4,7	1177,1855	103	99
85	311,414	3,2	300,522	0,0	198	99
86	17,27	692,919	17,48	576,884	102	99
88	14,18	133,175	5,10	106,138	198	99
89	1,0	2,5	1,2	1,0	117	99
90	11,3	2,5	21,12	1,0	159	99
93	104,161	1,0	111,182	0,2	198	99
95	1,0	18,16	0,0	14,20	104	99
96	5,6	1,2	0,2	3,2	198	99
97	5,13	31,48	0,0	21,20	105	99
98	0,3	13,7	0,0	20,27	125	99
99	85,115	2,0	85,164	0,0	198	99
100	4,13	44,98	8,19	63,163	156	99
101	1,0	60,65	1,0	37,86	192	99
102	89,90	0,4	41,49	3,1	141	99
104	132,145	4,7	89,187	1,2	198	99
105	14,16	467,583	17,24	375,546	198	99
106	205,233	22,6	125,164	10,10	198	99
107	7,7	30,43	2,3	45,52	119	99
109	852,1265	4,10	792,1159	0,5	126	99
110	1,1	4,6	2,6	10,19	121	99
111	9,4	76,95	3,9	55,109	104	99
112	78,222	1,0	58,138	1,3	198	99
113	9,5	688,803	5,3	507,625	198	99
114	8,21	1,2	16,6	1,0	198	99
115	3,2	8,16	0,2	10,13	115	99
117	6,9	29,14	5,6	2,10	115	99
118	2,1	25,23	0,1	12,18	181	99
119	3,0	310,383	4,1	207,325	132	99
120	4,3	322,361	5,3	217,360	198	99
121	91,91	6,5	110,181	3,6	198	99
122	1,1	344,507	4,12	656,893	103	99
123	73,59	0,4	22,23	2,3	198	99
124	132,186	1,0	99,155	0,0	124	99
125	849,1185	4,2	708,1096	17,6	105	99
126	76,118	0,0	97,214	0,1	149	99
127	35,44	0,1	22,41	5,0	113	99
128	3,8	30,19	3,3	11,15	110	99
