IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
9,23	386,425	9,9	185,342	233	341
82,116	386,425	55,91	185,342	212	341
50,60	84,80	27,60	44,102	139	144
30,19	151,190	10,17	73,148	180	180
182,185	370,371	60,155	135,270	176	222
549,487	400,403	363,500	263,422	205	166
1037,1026	119,87	480,964	41,91	166	117
66,67	103,99	44,76	44,83	138	156
219,241	363,326	97,180	186,321	177	170
2073,2101	1886,1604	1241,1994	961,1816	160	153
707,726	392,398	493,712	309,394	201	165
109,92	202,192	100,150	141,238	147	168
45,44	145,138	22,60	121,189	119	152
138,132	715,709	83,189	413,707	194	184
153,173	437,482	113,241	298,631	170	240
89,58	195,150	48,57	120,154	158	213
1625,2672	2492,3630	2020,3482	2970,4952	525	525
205,201	186,225	116,212	124,205	223	251
52,69	152,138	26,70	69,122	143	216
1403,1453	806,844	758,1503	446,918	170	180
876,745	444,443	445,796	220,467	180	143
437,368	137,110	208,335	81,158	193	133
887,857	3137,3189	499,757	1820,3097	124	279
87,123	95,123	67,120	71,127	159	159
6595,7142	7284,7828	3307,6287	4210,6871	366	369
16,17	8,4	7,11	1,4	144	151
21,38	8,4	9,19	1,4	351	151
800,710	14,24	587,1044	22,49	304	249
7,0	11,2	7,12	1,9	192	192
162,151	112,131	69,113	50,106	167	188
20,19	24,38	7,15	20,18	165	160
4,9	274,267	6,8	149,286	133	228
281,307	677,828	148,318	461,808	131	231
40,72	327,366	55,124	157,335	201	162
51,33	476,531	50,79	268,618	133	162
196,210	397,410	68,161	146,272	202	197
52,36	559,443	23,55	293,509	654	825
774,868	421,469	509,1013	331,519	202	154
46,58	2773,3213	22,45	1543,2620	137	323
609,739	542,653	566,1042	472,797	354	345
325,320	97,116	238,310	57,83	184	143
253,312	156,148	214,374	76,100	143	162
253,240	441,504	119,173	354,569	162	159
273,316	74,124	172,279	49,105	346	261
63,70	288,285	33,57	104,223	165	241
2684,3234	4880,4924	1391,2515	2185,3957	159	192
8036,7685	20,20	3458,6462	16,15	1796	107
8064,7726	20,20	3474,6492	16,15	1799	107
8099,7778	20,20	3500,6528	16,15	1836	107
84,86	556,453	42,75	299,414	128	189
293,360	531,645	194,341	316,630	167	241
2286,2561	945,941	1297,2416	664,1226	231	148
57,43	97,100	29,61	57,99	139	188
1268,1350	3081,3329	881,1248	1895,2978	166	249
64,87	144,196	38,57	54,119	135	183
4,0	144,196	0,1	54,119	150	183
236,223	76,120	75,166	53,67	207	172
126,127	86,56	58,92	34,44	180	138
277,307	480,498	169,325	316,523	161	199
89,48	93,66	39,87	76,129	140	164
32,25	12,21	10,12	4,4	288	288
117,119	32,21	38,64	9,5	180	132
24,30	49,26	12,11	10,27	132	153
0,3	6,7	1,18	6,6	487	520
99,99	402,378	66,96	263,408	199	343
6007,6375	4886,5084	3541,6806	2875,5757	236	175
548,564	563,498	390,685	371,617	162	162
110,150	2674,3038	76,148	1430,2583	147	433
127,141	130,129	72,158	70,136	238	244
165,165	112,104	101,113	53,80	212	188
78,89	236,210	39,41	144,229	242	192
14,14	4,0	9,17	1,0	164	152
347,339	53,50	278,461	30,63	336	191
169,118	92,64	67,106	45,99	160	146
94,70	88,62	14,69	39,45	255	178
1289,1656	1175,1469	906,1570	1029,1586	147	147
1511,2054	1478,1805	1133,1796	1181,1951	165	168
1149,1631	824,1156	860,1568	614,1092	147	147
860,1177	824,1156	604,1098	615,1091	147	147
49,68	4,4	51,61	0,5	147	147
639,930	4,4	450,742	0,5	147	147
640,927	1200,1577	452,741	806,1504	147	147
638,921	974,1386	450,743	753,1262	147	147
639,930	49,68	450,742	51,61	147	147
23,26	90,112	12,20	53,52	197	148
481,462	268,299	188,369	162,265	189	165
3616,4518	1011,1276	2288,4158	720,1094	284	133
35,40	115,181	23,13	68,141	160	162
17,19	115,181	5,3	68,141	204	162
1,5	62,83	1,0	30,48	158	210
