ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	5,15	262,286	5,6	117,223	233	341	1	1.0
1	53,70	262,286	33,62	117,223	212	341	1	1.0
2	34,37	49,54	19,37	28,67	139	144	1	1.0
3	19,13	99,129	9,13	44,98	180	180	1	1.0
5	120,123	258,255	40,93	87,186	176	222	1	1.0
6	353,323	248,271	231,322	183,282	205	166	1	1.0
8	691,664	78,51	334,634	25,59	166	117	1	1.0
10	38,38	62,65	34,49	26,58	138	156	0.609587644725	1.0
11	143,153	247,213	59,125	116,210	177	170	1	1.0
12	495,493	276,261	344,471	207,255	201	165	1	1.0
13	64,61	134,123	60,104	85,169	147	168	1	1.0
14	32,34	109,90	12,38	94,116	119	152	1	1.0
15	96,90	477,491	50,121	269,478	194	184	1	1.0
16	106,123	298,313	73,166	192,432	170	240	1	1.0
17	56,34	133,103	29,36	85,110	158	213	1	1.0
19	1071,1782	1635,2407	1407,2294	2002,3316	525	525	1	1.0
20	127,133	121,142	76,143	72,145	223	251	1	1.0
21	36,46	100,87	15,50	42,78	143	216	1	1.0
22	931,979	573,562	522,984	317,601	170	180	1	1.0
23	597,500	296,289	301,523	151,328	180	143	1	1.0
24	569,587	2098,2152	350,524	1223,2018	124	279	1	1.0
26	57,83	66,78	46,83	48,81	159	159	1	1.0
27	4412,4787	4963,5233	2270,4207	2856,4611	366	369	1	1.0
28	11,13	7,3	3,6	0,3	144	151	0.698775819273	1.0
29	12,24	7,3	6,10	0,3	351	151	0.525843306653	1.0
30	522,448	10,19	385,701	12,27	304	249	1	1.0
31	4,0	6,1	4,8	1,6	192	192	0.177941418863	1.0
32	4,5	184,181	4,3	101,184	133	228	1	1.0
33	203,213	426,583	98,208	306,545	131	231	1	1.0
34	26,54	218,257	28,77	98,221	201	162	1	1.0
35	31,24	317,350	33,53	182,405	133	162	1	1.0
36	126,133	269,266	52,111	94,192	202	197	1	1.0
37	37,25	374,282	19,39	176,342	654	825	1	1.0
38	29,32	1859,2141	16,32	1032,1737	137	323	1	1.0
39	392,482	360,454	385,672	289,518	354	345	1	1.0
40	197,208	60,73	156,199	42,55	184	143	1	1.0
41	171,211	97,100	137,247	52,61	143	162	0.870934266518	1.0
42	175,151	281,343	82,109	224,387	162	159	0.919582107449	1.0
43	180,204	48,85	112,180	32,60	346	261	1	1.0
44	42,48	177,189	21,40	65,156	165	241	1	1.0
45	1782,2158	3276,3286	914,1638	1474,2600	159	192	1	1.0
46	5453,5105	17,16	2297,4275	11,10	1796	107	1	1.0
47	5474,5128	17,16	2308,4289	11,10	1799	107	1	1.0
48	5495,5159	17,16	2326,4320	11,10	1836	107	1	1.0
49	53,60	372,299	26,55	203,280	128	189	1	1.0
51	192,241	355,433	127,229	206,433	167	241	1	1.0
52	44,21	67,66	20,42	41,66	139	188	1	1.0
53	853,898	2070,2180	581,791	1300,1958	166	249	1	1.0
54	46,55	103,127	25,41	38,90	135	183	1	1.0
55	3,0	103,127	0,1	38,90	150	183	1	1.0
56	151,140	49,80	52,103	37,42	207	172	1	1.0
57	88,85	54,31	40,63	20,25	180	138	1	1.0
58	193,210	302,322	114,222	202,372	161	199	1	1.0
59	59,32	64,42	26,48	46,90	140	164	0.829712238535	1.0
61	15,17	8,17	5,8	2,2	288	288	0.248314100935	1.0
62	78,78	21,15	30,43	2,5	180	132	0.487908532387	1.0
63	17,21	26,20	7,9	7,22	132	153	1	1.0
65	0,1	4,2	1,13	6,3	487	520	0.0261798383003	1.0
66	374,381	390,329	259,455	235,402	162	162	1	1.0
67	88,89	93,87	51,115	43,89	238	244	1	1.0
69	54,62	154,124	28,28	98,155	242	192	1	1.0
70	8,8	3,0	8,10	1,0	164	152	1	1.0
71	239,230	34,32	183,313	20,38	336	191	1	1.0
72	118,69	69,39	47,67	29,62	160	146	1	1.0
73	782,1072	560,768	570,1046	413,754	147	147	1	1.0
74	557,784	560,768	416,739	414,753	147	147	1	1.0
75	30,47	4,1	26,43	0,4	147	147	1	1.0
76	433,615	4,1	302,511	0,4	147	147	1	1.0
77	432,612	815,1046	304,510	526,1017	147	147	1	1.0
78	433,615	30,47	302,511	26,43	147	147	1	1.0
79	15,15	65,77	7,14	32,33	197	148	1	1.0
81	323,306	173,211	129,248	108,178	189	165	1	1.0
82	2415,2990	672,869	1517,2757	470,721	284	133	1	1.0
83	23,27	67,118	17,7	46,90	160	162	1	1.0
84	12,17	67,118	4,3	46,90	204	162	1	1.0
85	0,3	38,58	1,0	22,29	158	210	1	1.0
