IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
39,41	1,0	13,38	0,0	202	149
147,157	0,0	97,157	0,2	291	149
4,3	265,233	1,0	118,171	230	149
11,5	1,5	6,10	0,7	208	149
0,2	29,28	0,0	20,21	200	149
92,127	18,20	70,109	9,21	184	149
79,101	1,0	61,78	0,0	184	149
2,6	274,257	14,22	96,208	359	149
5,3	934,1039	1,1	618,1036	156	149
397,342	8,2	148,359	0,5	283	149
45,19	6,1	5,4	1,1	458	149
2,6	5,11	2,11	8,9	242	149
14,12	11,16	6,15	6,23	365	149
0,2	11,16	2,6	6,23	184	149
48,43	0,0	29,64	0,1	155	149
13,17	78,63	11,13	39,87	734	149
249,271	32,17	144,234	31,57	170	149
38,26	32,17	23,48	31,57	236	149
6,0	217,245	9,13	130,199	215	149
122,115	0,4	73,99	0,2	736	149
13,9	0,4	13,16	1,1	153	149
75,85	0,0	43,85	0,1	152	149
190,188	0,1	57,106	2,0	421	149
983,918	5,6	505,950	0,0	161	149
18,20	32,41	2,10	18,56	179	149
5,15	282,382	6,1	187,267	359	149
29,35	296,383	25,32	173,283	188	149
5,1	101,89	10,9	21,61	308	149
4,5	201,236	3,13	88,220	395	149
3,1	21,19	0,4	8,17	161	149
198,209	15,16	49,172	7,17	374	149
8,2	494,476	3,6	244,467	188	149
51,67	2,0	20,37	0,7	268	149
198,179	14,9	124,194	0,7	161	149
35,40	0,2	33,55	0,0	155	149
39,35	334,408	15,41	194,380	316	149
18,8	349,260	7,8	110,238	177	149
82,88	235,200	38,98	82,160	359	149
3,8	302,315	9,10	216,374	157	149
33,28	0,0	13,30	1,2	984	149
354,344	0,2	179,311	0,0	1909	149
126,100	1,0	64,149	0,0	167	149
4,0	190,222	0,0	107,224	152	149
116,105	0,0	93,105	0,1	170	149
142,171	1,0	118,223	0,0	361	149
171,224	1,0	156,271	0,0	551	149
33,53	1,0	41,52	0,0	339	149
134,176	0,5	96,166	1,2	339	149
38,28	120,98	18,52	76,120	268	149
425,391	9,9	350,584	22,25	715	149
7,7	276,308	1,0	141,186	311	149
310,368	0,2	200,369	0,4	157	149
5,1	254,306	9,3	162,338	151	149
22,14	80,55	9,12	41,89	204	149
18,8	9,13	6,5	5,21	204	149
2,0	327,312	1,1	205,391	373	149
35,24	1,4	4,6	4,7	169	149
19,30	6,3	12,17	0,0	153	149
17,34	26,20	4,10	18,46	161	149
43,57	1,1	27,22	0,0	190	149
84,97	289,336	6,15	195,312	167	149
7,12	329,479	5,5	187,397	157	149
20,35	100,141	19,15	42,95	525	149
6,21	36,26	0,7	16,10	233	149
735,766	1,0	403,709	0,0	161	149
31,13	13,10	16,11	2,2	343	149
424,486	6,7	253,477	1,2	847	149
506,553	6,7	290,533	1,2	875	149
1682,1651	1,0	1006,1838	0,0	690	149
108,141	3,9	36,89	11,13	542	149
23,19	1001,1101	19,37	496,1049	153	149
5,5	47,71	2,8	25,39	177	149
55,73	31,39	27,42	23,29	278	149
0,2	12,20	1,3	10,8	177	149
4,3	0,0	4,0	4,8	181	149
395,395	0,1	158,327	1,0	300	149
23,23	2092,2189	19,26	1414,2504	153	149
713,799	9,15	490,959	0,0	406	149
22,33	1297,1364	24,49	793,1349	152	149
32,54	281,298	19,23	146,274	343	149
0,0	8,9	3,0	1,1	167	149
10,5	8,9	15,17	1,1	209	149
278,201	0,4	162,330	0,0	189	149
333,334	5,3	232,369	1,3	408	149
0,0	30,22	0,3	40,26	154	149
20,46	0,2	23,26	4,3	1832	149
4,9	56,78	0,0	48,44	155	149
0,9	29,17	2,3	15,42	175	149
10,21	170,158	7,20	122,282	206	149
2,2	113,108	0,2	79,152	242	149
150,129	1,2	43,77	0,0	191	149
160,140	0,3	88,156	0,0	271	149
224,222	8,4	180,251	0,3	272	149
18,26	744,747	30,24	438,711	412	149
250,379	10,5	166,219	8,9	346	149
9,8	48,44	0,4	38,60	169	149
1393,1493	9,11	836,1363	0,7	176	149
7,2	4,4	0,8	3,32	171	149
6,12	194,192	12,20	108,196	154	149
289,397	2,0	177,283	0,4	251	149
58,49	1273,1219	20,40	452,962	685	149
59,57	2,3	10,25	0,0	484	149
3,3	37,24	0,2	6,14	165	149
3,12	19,12	10,9	9,10	165	149
1,0	34,34	0,0	13,26	231	149
2,1	540,603	5,7	305,504	182	149
12,10	505,562	3,14	292,516	368	149
231,139	10,7	188,263	3,8	297	149
14,9	1230,924	15,23	934,1665	153	149
83,59	1,4	19,34	2,9	737	149
256,223	2,0	110,206	0,0	174	149
76,38	29,53	18,55	8,13	174	149
1466,1577	3,1	801,1557	5,12	155	149
158,143	0,0	124,215	0,2	199	149
59,63	0,1	34,52	0,7	163	149
8,7	58,25	6,4	21,23	160	149
15,39	7,5	14,44	0,4	152	149
51,48	35,24	54,77	22,56	683	149
3,5	405,349	1,1	224,375	336	149
21,21	134,141	1,8	49,99	285	149
209,185	7,5	93,181	1,6	153	149
0,0	23,12	1,0	7,16	188	149
0,0	12,13	1,2	9,16	245	149
8,4	129,119	11,34	84,134	847	149
129,113	36,31	21,59	49,97	214	149
4,6	61,95	0,11	19,40	396	149
27,18	93,85	8,20	47,103	249	149
49,33	146,179	2,6	169,284	158	149
3,8	16,22	3,3	10,22	507	149
47,71	46,29	69,114	24,35	401	149
18,8	506,504	1,4	165,358	303	149
2,9	656,717	5,8	402,704	180	149
1,2	60,103	0,0	34,82	345	149
53,42	140,93	8,2	55,88	393	149
7,11	5,4	3,13	6,10	413	149
24,8	1,0	20,1	0,0	185	149
210,220	67,98	22,58	38,97	173	149
2,6	1519,1561	6,12	1127,1875	369	149
1461,1475	4,7	667,1370	2,0	258	149
20,16	13,6	25,41	5,19	230	149
3,5	0,2	4,4	0,0	177	149
469,394	83,87	330,489	34,57	519	149
