ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	82,98	71,81	97,41	85,34	217	196	1
1	79,76	14,11	66,24	5,2	262	219	1
2	14,12	131,69	12,4	51,30	230	230	1
3	0,3	8,6	2,0	0,2	263	342	0.667228847893
5	54,72	141,200	61,18	119,58	194	257	1
6	42,32	66,52	32,14	42,29	197	196	1
8	626,667	54,19	476,216	31,21	216	167	1
9	3777,3983	4675,5229	4286,2014	4977,2551	215	227	1
10	344,424	156,199	255,159	150,80	199	183	1
11	126,120	265,266	96,49	178,100	198	264	1
12	3,13	137,167	7,5	126,52	256	232	1
13	110,116	137,167	75,62	126,52	217	232	1
14	35,41	66,60	19,16	61,25	188	206	1
15	160,223	51,82	146,94	58,39	611	285	1
16	160,180	86,139	170,71	81,63	250	222	1
17	47,53	111,127	53,25	110,46	201	271	1
18	47,62	22,50	66,32	5,10	251	260	0.0134129162491
19	70,92	83,67	60,43	91,56	197	218	0.896631094634
20	43,31	103,91	44,9	108,61	169	202	1
21	169,174	139,134	96,68	114,56	247	225	1
22	95,114	226,241	94,43	269,106	220	290	1
24	1172,1365	1552,1697	1632,838	2381,1346	575	575	1
25	97,84	101,93	47,33	73,45	273	301	1
26	30,48	81,84	41,9	64,21	193	266	1
27	866,877	156,153	759,430	144,81	230	193	1
28	880,806	1110,1085	923,378	1008,560	226	272	1
29	0,0	61,58	1,0	55,28	209	209	1
30	55,42	61,58	41,19	55,28	209	209	1
31	55,42	0,0	41,19	1,0	209	209	1
32	56,42	64,48	41,19	55,30	209	209	1
33	3310,4353	3380,4521	2741,1396	3396,1772	416	419	1
34	461,457	7,14	598,291	10,12	354	299	1
35	7,3	13,12	4,2	6,4	242	242	0.962060085994
36	15,21	17,20	7,1	14,2	215	210	0.484049900711
37	59,58	55,39	32,15	30,18	273	247	1
38	86,120	460,508	87,41	373,185	181	281	1
39	34,29	234,261	38,14	184,92	251	212	1
40	25,32	339,417	62,48	311,161	183	212	0.145599100905
41	114,156	120,167	143,66	132,63	212	202	1
42	108,100	192,174	63,21	109,54	252	247	1
43	15,21	243,328	17,7	209,98	704	875	1
44	304,344	278,367	438,197	342,204	404	395	1
45	130,113	156,130	69,33	187,102	212	209	0.00931185637875
46	1418,1702	2445,2692	1148,575	2046,997	209	242	1
47	4059,4247	23,30	2877,1326	17,10	1846	157	1
48	4097,4259	23,30	2914,1336	17,10	1849	157	1
49	4125,4295	23,30	2922,1353	17,10	1886	157	1
50	53,64	297,344	33,14	104,45	176	272	0.907921433824
51	144,185	366,416	93,48	266,114	203	254	1
53	156,205	337,359	155,75	271,170	217	291	1
54	25,21	58,31	17,4	23,28	226	238	1
55	124,144	187,172	133,74	101,69	219	237	0.609323022865
56	30,45	61,62	32,14	39,29	185	233	1
58	71,78	72,78	38,18	35,11	230	188	1
59	58,61	65,51	30,14	56,16	190	214	0.725386135122
61	15,14	6,14	8,3	5,0	338	338	0.561631724507
62	76,93	127,138	101,51	141,70	218	260	1
63	1362,1408	2203,2568	972,471	1656,854	233	302	1
65	4,6	11,3	6,0	2,0	537	570	1
66	111,110	72,77	100,68	48,28	189	196	1
67	408,404	302,300	318,183	308,134	212	212	1
70	39,34	139,140	12,4	123,56	292	242	0.630753877593
71	12,14	0,2	4,0	0,0	214	202	1
72	157,185	64,49	129,61	55,27	262	215	1
73	835,989	852,1118	730,370	814,364	197	197	1
74	933,1018	932,1088	793,382	786,427	215	218	1
75	418,451	0,0	352,161	1,1	197	197	1
76	417,451	732,824	352,157	667,301	197	197	1
77	417,454	444,619	351,157	449,210	197	197	1
78	641,783	851,1130	548,275	822,386	215	215	1
80	498,526	151,162	526,213	148,71	284	206	1
81	1,0	34,46	0,0	26,16	208	260	1
82	101,89	128,167	86,45	101,56	252	282	1
