ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
3	60,74,70,57,73,90	0,0,0,2,0,0	66,50,36,98,87,27	0,0,0,0,0,0	291	149	1	1.0
4	4,1,0,0,0,0	60,120,87,83,119,102	0,0,4,2,0,0	52,52,64,94,85,36	230	149	1	1.0
5	0,9,0,1,3,2	2,0,1,1,3,1	2,5,3,4,5,1	0,0,2,3,4,0	208	149	0.218162060358	1.0
6	0,0,1,0,0,0	4,9,10,5,6,9	0,0,0,0,0,0	6,3,5,6,10,2	170	149	1	1.0
8	0,0,2,0,3,3	8,17,19,18,19,9	0,0,0,1,0,0	11,9,3,22,17,6	200	149	1	1.0
9	21,45,42,37,60,30	2,12,11,8,4,6	41,38,28,60,55,25	12,5,6,7,17,2	184	149	1	1.0
10	19,33,40,24,50,25	0,1,1,0,0,1	35,32,28,52,33,20	0,0,0,0,0,0	184	149	1	1.0
11	5,1,8,2,1,2	62,129,111,103,135,141	2,4,9,8,17,3	94,52,66,118,98,50	359	149	1	1.0
12	1,2,0,2,2,3	283,475,348,246,508,373	1,0,0,0,0,0	412,306,334,372,492,193	156	149	1	1.0
15	107,160,118,114,185,196	0,0,0,0,4,0	112,83,112,121,176,45	0,0,1,0,1,0	283	149	1	1.0
16	9,25,5,4,15,14	3,4,1,0,1,0	1,0,0,0,4,0	0,1,0,0,0,0	458	149	1	1.0
17	4,1,1,8,2,0	3,1,4,3,7,5	0,1,0,3,3,1	1,3,8,4,5,1	242	149	0.762530855109	1.0
18	0,1,5,3,6,2	10,5,6,13,9,4	0,3,6,0,9,1	3,0,9,14,11,5	365	149	1	1.0
20	0,0,0,0,0,0	10,5,6,13,9,4	0,1,0,0,5,0	3,0,9,14,11,5	184	149	1	1.0
21	18,26,28,32,16,21	0,0,0,0,0,0	26,10,11,17,28,7	1,0,0,1,1,0	155	149	1	1.0
22	2,11,6,2,11,2	20,31,41,30,34,41	8,4,7,0,9,6	30,17,20,45,38,18	734	149	1	1.0
23	91,129,100,113,127,126	8,18,10,12,6,17	109,67,92,167,105,48	16,18,14,31,33,6	170	149	1	1.0
24	12,21,6,21,12,11	8,18,10,12,6,17	11,11,8,17,18,4	16,18,14,31,33,6	236	149	0.35173705114	1.0
25	2,6,1,3,0,1	81,114,95,95,115,116	1,3,1,6,5,0	99,59,85,156,92,44	215	149	1	1.0
26	38,66,47,71,47,48	0,0,1,2,5,0	28,37,29,69,63,28	1,0,0,3,0,0	736	149	1	1.0
27	2,7,3,0,8,5	0,0,0,0,2,0	5,10,4,1,9,1	2,0,1,2,0,0	153	149	1	1.0
28	34,32,60,43,35,33	0,0,0,0,0,0	23,20,27,63,52,22	0,0,0,0,1,0	152	149	1	1.0
29	0,0,0,1,0,0	49,58,44,26,43,56	0,0,0,0,0,0	24,14,36,56,21,8	293	149	1	1.0
31	67,96,97,53,88,76	0,0,0,1,0,0	44,31,30,45,40,24	0,0,0,0,0,0	421	149	1	1.0
32	299,526,435,380,453,409	0,5,3,0,1,4	325,242,316,435,449,166	2,0,0,1,0,0	161	149	1	1.0
33	4,10,2,8,8,5	18,17,20,14,23,26	1,2,3,4,3,3	13,5,12,18,19,8	179	149	1	1.0
34	6,1,4,1,5,1	109,137,121,110,197,176	2,4,2,2,1,2	98,98,90,142,135,39	359	149	1	1.0
35	22,9,10,3,18,10	111,154,141,120,202,162	11,13,15,26,14,7	92,86,95,125,125,35	188	149	1	1.0
36	4,2,0,1,0,4	28,53,24,22,42,40	0,8,1,5,2,2	21,17,21,36,28,13	308	149	1	1.0
37	6,3,1,0,2,3	77,96,87,81,131,120	0,1,2,3,6,3	54,49,81,106,109,53	395	149	1	1.0
38	0,0,0,0,0,2	13,10,11,15,6,7	0,0,0,6,0,0	8,4,7,11,10,3	161	149	1	1.0
39	77,90,78,71,91,84	3,9,1,2,10,2	33,28,45,88,91,40	8,7,4,1,4,2	374	149	1	1.0
40	2,4,0,0,4,1	132,257,237,182,230,155	3,3,1,3,4,0	167,118,150,210,226,60	188	149	1	1.0
41	17,32,30,16,20,15	1,0,2,0,0,6	13,10,8,20,12,7	0,0,0,1,5,0	268	149	1	1.0
42	60,114,80,77,71,117	7,10,1,1,1,5	79,57,96,85,92,32	2,1,0,7,5,0	161	149	1	1.0
43	17,27,27,21,17,25	0,0,0,0,1,0	20,19,7,23,18,3	0,0,0,0,0,0	155	149	1	1.0
44	5,18,12,13,19,15	106,169,129,135,194,118	12,5,10,31,28,8	128,103,129,172,177,62	316	149	1	1.0
45	3,12,7,8,6,12	93,160,151,85,144,121	8,5,6,1,6,2	72,61,71,127,107,42	177	149	1	1.0
46	25,48,44,37,56,32	67,105,107,84,111,88	34,19,34,39,55,16	68,47,51,94,82,35	359	149	1	1.0
47	3,2,1,4,6,0	78,171,96,96,144,164	1,7,0,1,6,1	120,98,107,157,201,55	157	149	1	1.0
48	17,9,15,10,15,14	0,1,0,0,0,3	7,13,10,35,12,8	0,1,0,0,0,0	984	149	1	1.0
50	89,176,123,106,167,135	0,0,0,0,1,0	85,81,90,171,149,56	0,0,0,0,0,0	1909	149	1	1.0
51	31,51,56,49,58,65	0,0,3,0,2,1	31,27,42,68,78,21	0,0,0,0,0,0	167	149	1	1.0
52	0,4,0,0,0,0	73,99,93,102,112,125	0,0,0,0,0,0	63,52,58,122,104,40	152	149	1	1.0
54	29,40,77,57,64,53	0,0,0,0,0,0	48,41,39,60,49,16	2,0,0,0,0,0	170	149	1	1.0
55	45,67,58,47,88,54	0,0,4,0,3,1	67,35,53,96,87,21	1,0,0,0,0,0	339	149	1	1.0
56	5,18,17,18,13,17	40,59,59,71,64,44	18,10,12,21,28,5	50,41,50,53,52,19	268	149	1	1.0
57	133,205,172,146,197,191	5,4,1,2,5,2	230,182,172,297,311,100	14,15,12,16,12,2	715	149	0.169549514004	1.0
58	3,4,4,4,7,3	115,149,129,150,144,172	2,1,1,2,1,0	52,64,92,133,87,46	311	149	1	1.0
59	105,156,168,138,177,167	0,0,0,0,0,0	148,90,143,212,178,52	1,0,0,0,0,0	157	149	1	1.0
60	4,2,3,0,0,1	65,129,126,97,156,162	2,5,1,1,1,1	106,95,91,163,184,62	151	149	1	1.0
61	5,13,11,3,9,2	26,37,33,19,27,25	1,7,3,1,7,3	34,21,25,49,52,15	204	149	1	1.0
62	7,11,6,1,5,2	3,6,6,4,6,5	2,4,1,1,2,2	5,4,7,12,9,9	204	149	0.0281828361838	0.40419486424287515
63	0,0,0,1,0,2	129,177,152,117,175,144	1,1,1,2,0,0	127,102,121,164,215,83	373	149	1	1.0
64	9,18,12,12,17,10	1,0,0,1,1,0	5,0,6,6,6,2	2,3,2,4,5,0	169	149	0.0108056666808	0.181319086903824
65	5,9,5,8,16,6	0,2,4,2,0,0	11,6,9,4,8,2	1,0,0,0,0,0	153	149	1	1.0
66	3,8,1,7,5,8	0,0,0,0,0,0	5,2,5,2,3,0	1,0,0,0,0,0	153	149	1	1.0
67	5,9,8,5,14,8	1,10,9,7,5,6	0,2,0,5,4,1	17,10,6,18,20,4	161	149	3.96881927212e-06	0.00015487624973528743
68	10,14,13,21,25,5	3,0,5,1,1,1	19,10,12,14,15,10	0,0,0,0,0,0	190	149	1	1.0
69	29,44,15,22,50,37	96,130,81,87,143,135	13,3,6,14,6,6	116,101,96,151,163,62	167	149	0.00246573025654	0.048110411284582794
70	4,5,1,4,5,7	130,173,144,133,246,201	1,2,2,3,3,1	138,86,116,143,201,53	157	149	1	1.0
71	4,8,8,6,21,13	34,45,36,34,70,49	10,6,8,9,7,0	32,17,38,28,58,29	525	149	1	1.0
72	4,2,3,5,14,8	10,15,8,13,15,13	2,0,2,0,1,1	7,8,5,5,4,3	233	149	0.0161592565992	0.25341338853698686
74	2656,3837,3692,3203,4813,4207	0,0,0,0,1,0	4047,2693,3251,3612,5051,1800	0,0,0,0,0,0	155	149	1	1.0
75	6,13,9,14,12,3	0,5,0,2,4,2	6,5,7,3,4,6	0,1,3,3,0,2	343	149	1	1.0
76	193,199,199,197,242,220	0,2,4,0,3,4	107,156,170,298,265,92	2,1,0,1,1,0	847	149	1	1.0
77	214,232,224,223,277,249	0,2,4,0,3,4	120,173,197,335,294,115	2,1,0,1,1,0	875	149	1	1.0
79	1,1,0,3,0,0	0,0,0,0,2,0	1,0,0,0,0,0	0,0,0,0,0,0	153	149	1	1.0
80	31,55,45,33,59,53	1,3,6,2,5,2	47,24,27,46,41,11	7,5,2,9,7,1	542	149	0.220838662973	1.0
81	4,7,14,10,5,14	385,489,474,426,519,521	13,10,6,11,19,3	330,233,271,430,514,185	153	149	1	1.0
82	2,2,1,0,2,1	19,26,17,8,21,15	4,0,1,1,5,0	8,12,15,18,21,8	177	149	1	1.0
