IncLevel1	IncLevel2	IncLevelDifference
0.127,0.123,0.15,0.162,0.155,0.177	0.184,0.225,0.226,0.262,0.191,0.293	-0.081
0.794,0.743,0.743,0.885,1.0,1.0	1.0,1.0,1.0,0.885,1.0,1.0	-0.12
0.955,0.912,0.857,0.94,0.9,0.964	0.782,0.884,0.788,0.847,0.824,0.808	0.099
0.107,0.069,0.101,0.088,0.085,0.118	0.127,0.108,0.121,0.14,0.113,0.129	-0.028
1.0,1.0,0.988,1.0,1.0,0.986	1.0,1.0,1.0,0.994,0.995,1.0	-0.003
1.0,1.0,1.0,1.0,0.995,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
0.0,0.007,0.017,0.02,0.006,0.007	0.018,0.011,0.008,0.007,0.0,0.0	0.002
0.978,0.949,0.922,0.869,1.0,1.0	0.803,1.0,0.966,1.0,0.952,0.668	0.055
0.0,0.033,0.035,0.043,0.007,0.065	0.025,0.02,0.029,0.031,0.033,0.09	-0.007
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.985,1.0,1.0,1.0	0.003
0.667,0.548,0.586,0.389,0.583,0.286	0.091,0.889,0.333,0.579,0.75,0.6	-0.03
1.0,0.979,1.0,1.0,0.984,1.0	1.0,0.898,1.0,1.0,1.0,1.0	0.011
0.783,0.888,0.636,0.795,0.695,0.756	0.841,0.938,0.942,0.917,0.872,0.838	-0.132
0.538,0.714,0.298,0.529,0.446,0.333	0.333,0.826,0.6,0.636,0.633,0.6	-0.128
0.159,0.269,0.188,0.193,0.251,0.25	0.141,0.235,0.075,0.149,0.178,0.211	0.054
0.419,0.667,0.333,0.568,0.292,0.353	0.125,0.818,0.556,0.714,0.591,0.5	-0.112
0.087,0.172,0.197,0.204,0.131,0.098	0.098,0.247,0.034,0.138,0.099,0.205	0.011
0.895,0.743,0.692,0.622,0.863,0.833	0.889,0.8,0.765,0.6,0.9,0.667	0.004
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.955,1.0,1.0,1.0,1.0	0.007
0.327,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.054
0.1,0.086,0.111,0.133,0.166,0.023	0.016,0.017,0.053,0.026,0.009,0.025	0.079
0.0,0.661,0.245,0.0,0.245,0.0	NA,0.14,0.327,NA,0.0,NA	0.036
0.035,0.028,0.02,0.023,0.02,0.011	0.034,0.05,0.023,0.028,0.021,0.024	-0.007
0.972,0.953,0.956,0.943,0.974,0.975	0.995,0.932,0.946,0.982,0.958,0.978	-0.003
1.0,1.0,0.684,0.912,0.892,0.831	0.886,0.929,1.0,1.0,0.812,0.858	-0.028
0.0,0.661,0.327,0.0,0.245,0.493	0.0,NA,NA,0.549,0.0,0.0	0.15
1.0,0.987,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
0.0,0.0,0.0,0.0,0.0,0.011	0.0,0.0,0.018,0.0,0.0,0.0	-0.001
0.08,0.14,0.028,0.058,0.128,0.154	0.108,0.18,0.132,0.162,0.089,0.067	-0.025
0.788,0.912,1.0,1.0,1.0,0.895	1.0,1.0,1.0,1.0,1.0,1.0	-0.067
0.1,0.133,0.03,0.043,0.124,0.103	0.088,0.111,0.086,0.126,0.097,0.055	-0.005
0.091,0.124,0.03,0.043,0.124,0.112	0.063,0.111,0.086,0.126,0.089,0.037	0.002
0.042,0.071,0.008,0.023,0.116,0.08	0.036,0.106,0.066,0.065,0.071,0.048	-0.009
0.617,0.315,0.563,1.0,0.632,0.35	1.0,0.139,0.563,1.0,1.0,0.392	-0.103
0.005,0.005,0.006,0.006,0.003,0.004	0.003,0.002,0.003,0.005,0.003,0.003	0.002
1.0,1.0,1.0,1.0,1.0,1.0	0.997,1.0,1.0,1.0,1.0,1.0	0.001
0.971,0.982,0.984,0.989,0.995,0.985	0.997,0.989,0.985,0.988,0.992,1.0	-0.008
0.026,0.015,0.01,0.007,0.011,0.021	0.017,0.026,0.021,0.021,0.022,0.028	-0.008
0.142,0.159,0.122,0.144,0.168,0.138	0.119,0.114,0.14,0.11,0.133,0.117	0.023
0.018,0.028,0.058,0.034,0.053,0.054	0.073,0.022,0.069,0.025,0.031,0.033	-0.001
0.012,0.015,0.058,0.041,0.061,0.023	0.069,0.011,0.028,0.054,0.078,0.048	-0.013
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.733,1.0,1.0,1.0,1.0	0.044
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.929,1.0,1.0,1.0	0.012
0.007,0.011,0.008,0.008,0.024,0.007	0.003,0.013,0.014,0.006,0.006,0.015	0.001
0.981,0.979,0.982,0.971,0.979,0.979	0.983,0.986,0.979,0.991,0.976,0.977	-0.004
0.025,0.073,0.081,0.072,0.102,0.043	0.119,0.123,0.143,0.135,0.228,0.149	-0.084
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.949,1.0,1.0	0.009
0.915,0.919,0.916,0.911,0.864,0.917	0.894,0.909,0.922,0.913,0.951,0.766	0.015
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.995,1.0,1.0	0.001
1.0,0.985,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
1.0,1.0,0.997,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
0.986,0.974,0.99,0.969,0.99,0.989	1.0,0.915,0.978,0.944,0.99,0.922	0.025
0.38,0.519,0.394,0.473,0.439,0.379	0.384,0.335,0.493,0.519,0.465,0.378	0.002
0.794,0.822,0.733,0.773,0.837,0.729	0.807,0.906,0.814,0.851,0.856,0.891	-0.073
1.0,0.892,0.724,1.0,0.948,0.847	0.921,1.0,0.897,1.0,1.0,1.0	-0.068
0.04,0.028,0.029,0.028,0.043,0.008	0.051,0.027,0.037,0.041,0.007,0.05	-0.006
0.455,0.158,0.083,0.091,0.417,0.111	NA,0.5,0.231,0.385,0.2,0.5	-0.144
0.0,0.0,0.0,0.154,0.0,0.0	0.0,0.076,0.0,0.0,0.0,0.0	0.013
0.947,0.946,0.95,0.969,0.924,0.913	0.842,0.864,0.813,0.86,0.836,0.786	0.108
0.001,0.0,0.0,0.003,0.0,0.001	0.0,0.001,0.0,0.001,0.0,0.0	0.001
0.133,0.159,0.141,0.166,0.153,0.191	0.1,0.189,0.133,0.173,0.192,0.117	0.007
1.0,0.394,NA,1.0,1.0,NA	1.0,1.0,NA,1.0,0.0,NA	0.099
0.092,0.099,0.088,0.081,0.133,0.104	0.139,0.118,0.121,0.127,0.156,0.17	-0.039
0.965,0.96,0.966,0.957,0.953,0.96	0.953,0.961,0.97,0.983,0.976,1.0	-0.014
1.0,1.0,1.0,1.0,1.0,0.992	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
0.704,0.485,0.583,0.711,0.492,0.452	0.475,0.562,0.38,0.457,0.348,0.347	0.143
0.179,0.053,0.101,0.101,0.085,0.181	0.177,0.166,0.147,0.138,0.086,0.173	-0.031
0.921,0.922,0.857,0.933,0.904,0.902	0.846,0.856,0.797,0.803,0.814,0.812	0.085
0.692,0.651,0.896,0.858,0.74,0.926	0.81,0.939,0.898,0.794,0.837,1.0	-0.086
0.095,0.155,0.132,0.149,0.162,0.108	0.196,0.384,0.154,0.145,0.206,0.241	-0.087
0.203,0.229,0.197,0.206,0.218,0.209	0.255,0.306,0.291,0.29,0.335,0.327	-0.09
0.581,0.454,0.0,0.0,0.235,0.425	0.172,0.0,0.073,0.0,1.0,0.0	0.075
0.877,0.911,0.937,0.906,0.94,0.911	0.986,0.924,0.943,0.961,0.967,0.973	-0.045
1.0,1.0,0.905,1.0,0.857,1.0	1.0,0.846,0.8,1.0,1.0,1.0	0.019
1.0,1.0,1.0,1.0,1.0,0.921	1.0,1.0,1.0,1.0,1.0,1.0	-0.013
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.991,1.0,1.0,1.0,1.0	0.002
0.992,0.923,0.945,0.984,0.956,0.95	0.98,0.94,0.948,0.913,0.938,0.849	0.03
0.889,0.364,0.515,0.75,0.562,0.481	0.571,0.25,0.444,0.256,0.355,0.111	0.262
0.643,0.706,0.545,0.415,0.385,0.429	0.308,0.163,0.29,0.24,0.321,0.467	0.222
0.083,0.055,0.025,0.08,0.07,0.029	0.442,0.466,0.474,0.382,0.335,0.572	-0.388
0.639,0.151,0.33,0.372,0.307,0.0	0.283,0.139,0.151,0.307,0.0,0.129	0.132
0.325,0.211,0.167,0.158,0.237,0.175	0.118,0.057,0.108,0.076,0.17,0.137	0.101
0.047,0.098,0.064,0.018,0.077,0.05	0.05,0.008,0.035,0.108,0.083,0.042	0.005
1.0,1.0,0.999,1.0,0.999,1.0	0.997,0.998,0.998,0.999,0.999,0.999	0.001
0.071,0.065,0.071,0.068,0.083,0.073	0.074,0.092,0.089,0.096,0.091,0.09	-0.017
0.033,0.009,0.104,0.071,0.133,0.082	0.031,0.04,0.122,0.115,0.093,0.077	-0.008
0.301,0.264,0.153,0.278,0.271,0.205	0.248,0.284,0.22,0.198,0.339,0.373	-0.032
0.009,0.023,0.039,0.0,0.005,0.008	0.113,0.0,0.041,0.016,0.034,0.038	-0.026
1.0,1.0,1.0,1.0,1.0,1.0	0.968,1.0,1.0,1.0,1.0,1.0	0.005
1.0,NA,NA,0.5,0.368,0.143	0.818,1.0,1.0,0.8,0.733,1.0	-0.389
0.022,0.072,0.042,0.133,0.138,0.206	0.083,0.08,0.158,0.14,0.13,0.0	0.004
0.0,0.0,0.139,NA,0.195,NA	NA,0.0,0.0,0.0,0.0,NA	0.084
1.0,0.981,0.998,0.986,0.992,1.0	0.989,1.0,0.988,0.991,0.983,0.995	0.002
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.983,1.0,1.0	0.003
1.0,1.0,0.963,1.0,1.0,1.0	0.965,1.0,1.0,1.0,1.0,1.0	-0.0
0.003,0.001,0.001,0.001,0.003,0.001	0.003,0.004,0.002,0.001,0.005,0.0	-0.001
0.938,0.805,0.689,0.655,0.861,1.0	0.899,0.742,0.83,0.816,0.677,0.808	0.029
1.0,0.688,0.857,0.739,0.737,0.923	0.778,1.0,0.909,0.796,0.724,1.0	-0.044
0.893,0.93,0.965,0.927,0.892,0.945	0.949,0.917,0.912,0.873,0.856,0.699	0.058
0.0,0.0,0.071,0.049,0.035,0.017	0.0,0.023,0.028,0.028,0.047,0.0	0.008
0.351,0.608,0.553,0.412,0.532,0.537	0.416,0.373,0.311,0.306,0.471,0.143	0.162
0.0,0.076,0.04,0.056,0.0,0.041	0.177,0.088,0.083,0.095,0.077,0.15	-0.076
1.0,1.0,1.0,1.0,0.842,1.0	1.0,1.0,0.623,1.0,0.869,1.0	0.058
NA,0.0,0.115,0.0,0.154,0.0	0.0,0.0,0.092,0.0,0.0,0.0	0.038
0.998,0.996,0.983,0.992,0.985,0.986	0.999,0.997,0.991,0.999,0.996,1.0	-0.007
0.018,0.088,0.157,0.065,0.086,0.141	0.032,0.063,0.026,0.05,0.091,0.025	0.045
0.983,1.0,1.0,1.0,0.993,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.004
0.966,0.98,0.984,0.976,0.991,0.993	0.993,0.987,0.985,0.99,0.975,0.967	-0.001
0.015,0.011,0.016,0.004,0.013,0.01	0.042,0.075,0.072,0.069,0.059,0.048	-0.049
0.005,0.004,0.001,0.004,0.004,0.003	0.001,0.002,0.004,0.007,0.0,0.001	0.001
1.0,1.0,1.0,0.918,0.983,1.0	0.886,0.895,0.916,0.946,0.851,0.625	0.13
0.833,0.84,0.811,0.827,0.779,0.7	0.891,0.733,0.903,0.852,0.842,0.845	-0.046
1.0,1.0,1.0,1.0,0.988,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,1.0,0.867,1.0	0.836,1.0,0.836,1.0,1.0,1.0	0.033
0.079,0.082,0.074,0.056,0.117,0.083	0.06,0.024,0.081,0.074,0.054,0.07	0.021
0.977,0.934,0.939,0.97,0.939,0.955	0.931,0.88,0.921,0.899,0.929,0.947	0.034
0.372,0.398,0.394,0.43,0.419,0.359	0.747,0.78,0.814,0.864,0.799,0.797	-0.405
0.181,0.141,0.194,0.14,0.201,0.165	0.078,0.073,0.092,0.145,0.061,0.164	0.068
0.25,0.029,0.0,0.0,0.053,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.055
0.096,0.088,0.069,0.081,0.081,0.062	0.038,0.036,0.036,0.057,0.055,0.069	0.031
0.0,0.0,0.0,0.0,0.148,0.0	0.263,0.481,0.507,0.389,0.594,0.881	-0.494
0.875,0.876,0.9,0.835,0.876,0.897	0.491,0.419,0.447,0.41,0.45,0.502	0.423
0.939,0.942,0.964,0.963,0.942,0.955	0.523,0.511,0.438,0.503,0.483,0.559	0.448
1.0,1.0,1.0,0.988,0.985,0.982	1.0,1.0,1.0,1.0,1.0,1.0	-0.007
0.914,1.0,0.873,0.887,1.0,0.959	0.949,1.0,1.0,1.0,0.944,1.0	-0.043
1.0,0.996,1.0,1.0,0.985,0.996	0.946,0.96,0.961,0.987,0.978,0.922	0.037
NA,NA,0.187,NA,NA,0.0	0.0,0.0,NA,1.0,NA,NA	-0.24
0.016,0.013,0.044,0.021,0.014,0.044	0.014,0.029,0.023,0.009,0.025,0.036	0.003
0.01,0.014,0.022,0.021,0.018,0.015	0.019,0.001,0.015,0.02,0.015,0.004	0.004
0.327,0.049,0.14,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.086
0.001,0.001,0.001,0.0,0.0,0.003	0.001,0.001,0.002,0.002,0.002,0.0	-0.0
0.531,0.492,0.47,0.512,0.497,0.386	0.633,0.667,0.721,0.583,0.594,0.571	-0.147
1.0,0.472,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.088
1.0,1.0,1.0,1.0,1.0,1.0	0.884,1.0,1.0,1.0,1.0,1.0	0.019
0.338,0.146,0.131,0.088,0.191,0.06	0.131,0.079,0.23,0.242,0.0,0.0	0.045
0.42,0.41,0.454,0.44,0.458,0.451	0.458,0.442,0.447,0.425,0.457,0.432	-0.005
0.011,0.031,0.052,0.045,0.029,0.026	0.011,0.055,0.018,0.085,0.05,0.12	-0.024
0.172,0.18,0.129,0.241,0.161,0.223	0.293,0.235,0.365,0.264,0.303,0.271	-0.104
0.992,1.0,1.0,0.985,0.99,1.0	0.994,0.931,0.974,0.996,0.986,0.988	0.016
0.009,0.025,0.012,0.022,0.024,0.014	0.017,0.022,0.015,0.021,0.014,0.023	-0.001
0.955,0.979,0.966,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.017
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.999	0.0
1.0,0.995,1.0,1.0,0.997,0.985	0.989,1.0,0.988,1.0,0.991,1.0	0.002
0.938,0.944,0.921,0.899,0.914,0.895	0.966,0.908,0.981,0.944,0.966,1.0	-0.042
0.041,0.028,0.044,0.063,0.022,0.029	0.04,0.03,0.038,0.034,0.024,0.048	0.002
0.0,0.003,0.016,0.0,0.013,0.0	0.004,0.006,0.005,0.003,0.02,0.009	-0.002
0.803,0.874,0.813,0.863,0.841,0.828	0.883,0.936,0.892,0.881,0.907,0.934	-0.068
0.019,0.011,0.019,0.01,0.016,0.018	0.014,0.027,0.022,0.017,0.017,0.018	-0.004
0.996,0.994,0.993,1.0,0.998,0.993	1.0,1.0,1.0,1.0,1.0,1.0	-0.004
0.79,0.832,0.771,0.771,0.806,0.746	0.792,0.84,0.858,0.762,0.819,0.827	-0.03
1.0,0.999,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
0.974,0.867,0.856,1.0,0.84,0.957	0.957,0.954,1.0,0.963,1.0,0.856	-0.039
0.008,0.013,0.015,0.012,0.011,0.018	0.007,0.017,0.014,0.016,0.018,0.017	-0.002
0.006,0.006,0.001,0.008,0.003,0.001	0.017,0.008,0.015,0.019,0.011,0.014	-0.01
0.999,0.999,1.0,0.997,1.0,0.998	0.995,0.998,0.996,0.993,0.995,0.997	0.003
1.0,0.986,0.993,0.958,0.986,0.993	0.981,0.977,1.0,0.976,1.0,1.0	-0.003
0.804,0.763,0.851,0.922,0.844,0.759	0.794,0.879,0.926,0.88,0.884,0.866	-0.048
1.0,0.907,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.015
0.972,0.922,0.971,1.0,0.869,0.923	1.0,1.0,0.947,0.988,0.957,1.0	-0.039
1.0,0.971,1.0,1.0,1.0,0.985	1.0,0.975,1.0,1.0,0.991,1.0	-0.002
0.01,0.007,0.011,0.008,0.01,0.002	0.008,0.007,0.011,0.011,0.01,0.009	-0.001
0.009,0.0,0.0,0.005,0.007,0.0	0.0,0.006,0.008,0.011,0.004,0.0	-0.001
1.0,0.966,1.0,1.0,0.934,0.926	1.0,1.0,1.0,1.0,1.0,1.0	-0.029
0.712,0.616,0.646,0.649,0.652,0.683	0.439,0.426,0.429,0.41,0.409,0.417	0.238
0.005,0.021,0.01,0.012,0.004,0.016	0.01,0.016,0.008,0.003,0.006,0.003	0.004
1.0,0.996,0.997,0.999,0.993,0.993	0.997,0.998,0.996,0.993,0.997,0.997	0.0
0.045,0.048,0.043,0.031,0.046,0.036	0.026,0.012,0.034,0.027,0.024,0.016	0.018
1.0,1.0,0.998,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.996,1.0	0.0
0.004,0.003,0.003,0.005,0.004,0.004	0.005,0.006,0.004,0.005,0.006,0.007	-0.002
1.0,1.0,0.999,1.0,0.999,0.999	0.999,0.998,0.999,1.0,0.999,1.0	0.0
1.0,1.0,1.0,1.0,0.919,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.013
0.984,0.968,1.0,1.0,1.0,0.961	1.0,0.935,0.971,1.0,1.0,1.0	0.001
0.505,0.472,0.441,0.482,0.487,0.466	0.434,0.385,0.498,0.484,0.421,0.521	0.018
0.001,0.0,0.0,0.0,0.001,0.001	0.0,0.001,0.0,0.002,0.0,0.0	0.0
0.237,0.242,0.246,0.231,0.234,0.227	0.157,0.158,0.15,0.152,0.153,0.171	0.079
0.008,0.008,0.013,0.003,0.015,0.01	0.012,0.004,0.006,0.01,0.014,0.01	0.0
0.988,0.991,1.0,0.988,0.986,0.963	0.972,0.947,1.0,1.0,1.0,1.0	-0.0
0.976,0.983,1.0,0.984,0.976,0.943	0.949,0.919,1.0,1.0,1.0,1.0	-0.001
0.258,0.273,0.3,0.354,0.309,0.303	0.266,0.299,0.335,0.32,0.342,0.357	-0.02
0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.001	-0.0
0.253,0.371,0.381,0.666,0.416,0.335	0.499,0.332,0.423,0.454,0.455,0.436	-0.03
0.979,1.0,0.981,0.969,0.993,0.985	0.971,0.957,1.0,1.0,1.0,1.0	-0.003
0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.001	-0.0
1.0,1.0,NA,0.603,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.079
0.228,0.073,0.0,0.136,0.372,0.09	0.0,0.0,0.0,0.345,0.108,0.283	0.027
0.795,0.643,0.588,0.6,0.806,0.86	0.744,1.0,0.83,0.806,0.9,0.765	-0.125
0.839,0.951,0.913,0.899,0.892,0.887	0.898,0.893,0.789,0.95,0.88,0.942	0.005
1.0,1.0,0.987,0.96,1.0,0.97	0.91,1.0,1.0,1.0,0.903,1.0	0.017
0.157,0.264,0.302,0.366,0.251,0.288	0.172,0.06,0.148,0.277,0.251,0.038	0.114
0.988,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.913,1.0	0.014
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.999	0.0
1.0,NA,NA,NA,1.0,1.0	NA,NA,NA,NA,0.0,NA	1.0
0.0,0.001,0.002,0.0,0.001,0.001	0.002,0.001,0.001,0.0,0.001,0.0	0.0
NA,1.0,1.0,1.0,1.0,NA	0.0,1.0,NA,1.0,NA,NA	0.333
0.0,0.024,0.008,0.025,0.034,0.0	0.0,0.023,0.0,0.023,0.012,0.0	0.006
0.21,0.26,0.211,0.235,0.166,0.22	0.17,0.264,0.248,0.231,0.231,0.333	-0.029
0.572,1.0,0.88,0.648,0.462,0.728	0.308,0.25,1.0,0.667,0.401,0.401	0.21
0.505,0.693,0.393,0.699,0.454,0.72	1.0,0.811,1.0,1.0,1.0,1.0	-0.391
0.031,0.024,0.03,0.046,0.024,0.023	0.053,0.016,0.038,0.053,0.103,0.015	-0.017
0.361,0.403,0.306,0.565,0.394,0.458	0.194,0.333,0.111,0.264,0.351,0.125	0.185
1.0,0.833,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.85,1.0	-0.003
1.0,0.887,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.896,1.0	-0.001
1.0,0.98,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
0.626,0.72,0.709,0.597,0.716,0.719	0.426,0.342,0.386,0.457,0.479,0.56	0.24
0.0,0.0,0.053,0.0,0.0,0.0	0.0,0.333,0.0,0.333,0.0,0.0	-0.102
1.0,1.0,0.999,0.998,0.999,0.998	0.998,0.999,0.999,0.998,0.999,0.999	0.0
0.965,0.957,0.952,0.958,0.964,0.964	0.955,0.961,0.972,0.965,0.958,0.963	-0.002
0.994,0.998,0.995,0.997,0.997,0.996	0.997,0.997,0.995,0.997,0.996,0.997	-0.0
0.994,0.998,0.995,0.997,0.997,0.996	0.998,0.997,0.995,0.997,0.996,0.997	-0.0
0.997,0.992,0.998,0.99,0.995,0.993	0.994,0.998,0.994,1.0,0.991,0.996	-0.001
0.999,0.999,0.998,0.999,0.998,0.999	1.0,0.998,0.998,0.999,0.998,0.999	0.0
0.999,0.999,0.998,0.999,0.999,0.999	1.0,0.999,0.998,0.999,0.999,0.999	-0.0
0.997,0.999,0.999,0.994,0.999,0.998	0.998,0.998,0.996,0.998,0.999,1.0	-0.001
0.059,0.086,0.066,0.064,0.081,0.072	0.032,0.025,0.026,0.021,0.024,0.022	0.046
0.256,0.285,0.279,0.243,0.25,0.277	0.118,0.05,0.107,0.083,0.099,0.081	0.175
0.024,0.011,0.018,0.012,0.011,0.015	0.015,0.007,0.01,0.015,0.008,0.013	0.004
0.288,0.303,0.323,0.383,0.401,0.39	0.111,0.116,0.168,0.128,0.132,0.127	0.218
0.98,0.995,0.983,0.993,0.993,0.996	0.998,0.985,0.995,0.994,0.978,0.996	-0.001
0.023,0.03,0.042,0.011,0.034,0.041	0.021,0.024,0.029,0.025,0.041,0.028	0.002
0.026,0.007,0.0,0.038,0.045,0.0	0.01,0.012,0.021,0.0,0.017,0.0	0.009
0.019,0.025,0.043,0.017,0.017,0.015	0.024,0.006,0.038,0.045,0.027,0.034	-0.006
1.0,0.915,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.014
0.0,0.0,0.001,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.0
0.104,0.156,0.218,0.127,0.198,0.096	0.42,0.306,0.27,0.173,0.224,0.3	-0.132
0.273,0.453,0.512,0.472,0.461,0.326	0.829,0.744,0.892,0.563,0.659,0.675	-0.311
1.0,1.0,NA,NA,NA,1.0	1.0,1.0,1.0,1.0,0.0,NA	0.2
NA,1.0,1.0,1.0,1.0,1.0	1.0,NA,NA,1.0,0.518,NA	0.161
0.965,0.986,0.987,0.983,0.972,0.983	0.985,0.987,0.998,0.993,0.995,0.996	-0.013
0.964,0.959,0.969,0.972,0.977,0.963	0.997,1.0,1.0,0.995,0.996,1.0	-0.031
0.354,0.313,0.446,0.356,0.184,0.297	0.183,0.226,0.313,0.459,0.359,0.503	-0.016
0.991,0.989,1.0,1.0,1.0,0.996	1.0,1.0,1.0,1.0,0.99,1.0	-0.002
1.0,0.956,1.0,1.0,1.0,0.969	1.0,1.0,1.0,1.0,1.0,1.0	-0.013
0.195,0.211,0.324,0.203,0.236,0.246	0.378,0.34,0.516,0.451,0.461,0.367	-0.183
0.016,0.031,0.039,0.057,0.047,0.023	0.511,0.54,0.504,0.502,0.519,0.539	-0.484
0.542,0.392,0.319,0.267,0.276,0.337	0.252,0.293,0.365,0.408,0.423,0.303	0.015
0.072,0.079,0.211,0.178,0.107,0.122	0.3,0.217,0.19,0.195,0.106,0.246	-0.081
0.99,1.0,0.987,0.994,0.989,1.0	0.931,0.959,0.965,0.934,0.952,0.925	0.049
0.0,0.0,0.147,0.0,0.0,0.0	0.07,0.0,0.0,0.0,0.0,0.0	0.013
0.2,0.093,0.0,0.056,0.018,0.0	0.0,0.087,0.067,0.0,0.0,0.091	0.02
NA,1.0,NA,1.0,1.0,1.0	NA,1.0,1.0,1.0,0.0,1.0	0.2
1.0,0.983,0.982,0.989,1.0,0.983	1.0,1.0,1.0,1.0,1.0,1.0	-0.011
0.059,0.114,0.053,0.035,0.054,0.056	0.037,0.018,0.07,0.06,0.034,0.091	0.01
1.0,1.0,1.0,1.0,0.92,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.013
0.023,0.009,0.008,0.005,0.012,0.0	0.009,0.031,0.018,0.009,0.002,0.005	-0.003
0.948,0.919,0.92,0.932,0.924,0.948	0.945,0.947,0.939,0.939,0.931,0.95	-0.01
1.0,0.413,0.135,1.0,0.413,1.0	NA,1.0,1.0,NA,NA,NA	-0.34
0.06,0.048,0.072,0.058,0.052,0.042	0.037,0.045,0.038,0.052,0.045,0.054	0.01
0.019,0.022,0.024,0.027,0.042,0.022	0.024,0.037,0.022,0.028,0.022,0.045	-0.004
1.0,1.0,1.0,0.999,0.999,1.0	0.996,0.998,0.984,0.993,0.993,0.975	0.01
0.941,0.948,0.927,0.917,0.928,0.93	0.987,0.997,0.991,0.995,0.987,0.998	-0.061
0.981,0.979,0.972,0.984,0.975,0.986	0.981,0.983,0.979,0.985,0.982,0.984	-0.003
0.858,0.874,0.905,0.957,0.964,0.941	1.0,0.91,1.0,1.0,0.963,1.0	-0.062
1.0,1.0,0.318,NA,0.0,0.788	1.0,NA,NA,0.867,0.482,NA	-0.162
0.105,0.103,0.113,0.129,0.164,0.086	0.889,0.821,0.68,0.713,0.79,0.718	-0.652
0.978,0.948,0.975,0.964,0.97,1.0	0.925,0.833,1.0,1.0,1.0,1.0	0.013
0.629,0.634,0.666,0.608,0.671,0.704	0.554,0.489,0.562,0.575,0.563,0.641	0.088
0.72,0.774,0.659,0.764,0.706,0.618	0.726,0.753,0.789,0.757,0.83,0.638	-0.042
0.424,0.615,0.36,0.399,0.491,0.347	0.708,0.727,0.776,0.735,0.791,0.585	-0.281
0.063,0.225,0.171,0.089,0.137,0.129	0.48,0.461,0.488,0.469,0.413,0.428	-0.321
0.01,0.007,0.027,0.013,0.015,0.012	0.023,0.016,0.0,0.01,0.008,0.023	0.001
0.329,0.344,0.369,0.349,0.335,0.354	0.187,0.181,0.15,0.204,0.196,0.295	0.145
0.729,0.642,0.473,NA,0.729,1.0	0.183,0.473,NA,0.374,NA,1.0	0.207
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.993,1.0,0.993,1.0,1.0	0.002
0.348,0.319,0.454,0.294,0.401,0.54	0.03,0.03,0.043,0.01,0.045,0.105	0.349
0.511,0.623,0.565,0.412,0.565,0.318	0.364,0.154,0.375,0.556,0.371,0.0	0.196
0.569,0.552,0.4,0.608,0.649,0.6	0.731,0.551,0.706,0.831,0.732,0.7	-0.145
