IncLevel1	IncLevel2	IncLevelDifference
0.007,0.006,0.005,0.008,0.007,0.005	0.006,0.003,0.006,0.006,0.005,0.003	0.001
0.961,0.982,0.986,1.0,1.0,0.971	1.0,1.0,1.0,0.987,0.992,1.0	-0.013
0.029,0.023,0.01,0.007,0.009,0.016	0.016,0.038,0.023,0.017,0.031,0.024	-0.009
0.099,0.154,0.149,0.149,0.166,0.125	0.117,0.142,0.155,0.106,0.127,0.089	0.018
0.12,0.058,0.052,0.014,0.059,0.034	0.065,0.0,0.045,0.047,0.046,0.112	0.004
0.0,0.011,0.047,0.046,0.063,0.022	0.066,0.017,0.018,0.026,0.15,0.0	-0.015
1.0,1.0,1.0,1.0,1.0,NA	1.0,0.487,1.0,1.0,1.0,1.0	0.086
0.01,0.012,0.009,0.008,0.038,0.007	0.0,0.015,0.008,0.007,0.006,0.019	0.005
0.979,0.981,0.985,0.975,0.976,0.984	0.99,0.988,0.991,0.99,0.992,0.982	-0.009
0.038,0.027,0.103,0.025,0.113,0.05	0.095,0.019,0.108,0.129,0.236,0.087	-0.053
0.917,0.953,0.909,0.962,0.885,0.982	0.953,0.925,0.944,0.929,0.96,0.863	0.006
1.0,0.989,0.986,1.0,1.0,1.0	1.0,0.954,0.969,1.0,1.0,1.0	0.009
0.327,0.467,0.307,0.433,0.358,0.339	0.415,0.218,0.28,0.46,0.478,0.327	0.009
0.674,0.771,0.637,0.657,0.669,0.623	0.698,0.83,0.754,0.725,0.776,0.911	-0.111
1.0,0.853,0.713,1.0,1.0,1.0	1.0,1.0,0.768,1.0,1.0,1.0	-0.034
0.086,0.04,0.018,0.0,0.043,0.0	0.035,0.041,0.045,0.038,0.01,0.0	0.003
0.385,0.135,0.0,0.0,0.653,0.0	NA,1.0,0.239,0.19,0.19,0.0	-0.128
0.0,0.0,0.0,0.185,0.0,0.0	0.0,0.185,0.0,0.0,0.0,NA	-0.006
0.926,0.961,0.959,0.977,0.905,0.906	0.895,0.873,0.866,0.859,0.801,0.843	0.083
0.001,0.002,0.0,0.005,0.002,0.003	0.0,0.002,0.001,0.001,0.002,0.0	0.001
0.088,0.066,0.097,0.065,0.073,0.141	0.057,0.193,0.069,0.113,0.092,0.08	-0.012
1.0,1.0,NA,NA,1.0,NA	NA,1.0,NA,1.0,0.0,NA	0.333
0.112,0.087,0.057,0.084,0.121,0.089	0.139,0.087,0.118,0.143,0.156,0.157	-0.042
0.941,0.889,0.918,0.907,0.972,0.956	0.885,0.894,0.937,0.979,0.914,1.0	-0.004
0.777,0.417,0.559,0.677,0.557,0.725	0.549,0.49,0.505,0.444,0.327,0.497	0.15
0.134,0.047,0.092,0.152,0.069,0.09	0.052,0.133,0.076,0.106,0.07,0.244	-0.016
0.946,0.93,0.888,0.907,0.909,0.888	0.829,0.86,0.812,0.799,0.832,0.813	0.087
0.814,0.646,0.718,0.865,0.765,1.0	0.748,0.926,0.861,0.912,0.847,1.0	-0.081
0.072,0.179,0.138,0.092,0.169,0.088	0.179,0.396,0.107,0.118,0.164,0.145	-0.062
0.261,0.263,0.239,0.186,0.232,0.177	0.268,0.363,0.326,0.328,0.368,0.335	-0.105
1.0,0.624,0.0,0.0,0.409,0.0	0.0,0.0,0.0,0.0,NA,0.0	0.339
0.883,0.918,0.921,0.897,0.946,0.906	0.985,0.905,0.967,0.963,0.972,1.0	-0.053
1.0,1.0,1.0,1.0,0.636,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.061
1.0,1.0,1.0,1.0,1.0,0.954	1.0,1.0,1.0,1.0,1.0,1.0	-0.008
0.962,0.888,0.928,1.0,0.852,0.934	0.964,0.951,1.0,0.852,0.928,1.0	-0.022
0.66,1.0,0.678,1.0,0.509,0.312	0.139,0.618,0.245,0.633,0.178,0.302	0.341
0.12,0.056,0.015,0.042,0.091,0.012	0.482,0.492,0.523,0.449,0.318,0.719	-0.441
0.816,0.0,0.372,0.307,0.228,0.0	0.0,0.307,0.0,0.639,0.0,0.307	0.078
0.425,0.289,0.187,0.149,0.217,0.151	0.248,0.06,0.132,0.09,0.195,0.095	0.1
0.088,0.063,0.093,0.051,0.097,0.077	0.0,0.03,0.051,0.164,0.098,0.088	0.006
1.0,1.0,0.998,1.0,0.997,1.0	0.998,0.995,0.996,1.0,1.0,1.0	0.001
0.097,0.077,0.1,0.104,0.106,0.107	0.084,0.116,0.103,0.132,0.103,0.138	-0.014
0.099,0.083,0.048,0.248,0.277,0.171	0.215,0.39,0.149,0.092,0.029,0.071	-0.003
0.326,0.273,0.211,0.389,0.284,0.267	0.242,0.41,0.243,0.206,0.33,0.357	-0.006
0.0,0.033,0.053,0.0,0.014,0.016	0.098,0.0,0.0,0.024,0.025,0.0	-0.005
1.0,NA,NA,0.0,0.199,NA	1.0,1.0,1.0,1.0,0.749,NA	-0.55
0.117,0.062,0.0,0.199,0.091,0.166	0.091,0.13,0.347,0.202,0.062,0.0	-0.033
1.0,1.0,1.0,0.993,0.986,1.0	0.978,1.0,0.98,0.987,0.989,0.986	0.01
0.002,0.0,0.0,0.0,0.0,0.0	0.002,0.0,0.002,0.0,0.009,0.0	-0.002
1.0,1.0,0.307,0.228,0.756,1.0	1.0,0.78,0.727,0.816,0.674,0.372	-0.013
1.0,1.0,1.0,1.0,0.781,0.74	0.588,1.0,0.74,0.714,0.607,1.0	0.145
0.868,0.928,0.963,0.952,0.902,0.929	0.976,0.878,0.935,0.848,0.894,0.818	0.032
0.0,0.0,0.181,0.1,0.0,0.0	0.0,0.087,0.0,0.062,0.181,0.0	-0.008
0.335,0.63,1.0,0.56,0.407,0.59	0.339,0.359,0.511,0.388,0.386,0.246	0.216
0.0,0.195,0.0,0.078,0.0,0.0	0.0,0.15,0.0,0.097,0.0,0.0	0.004
1.0,1.0,1.0,1.0,0.67,NA	1.0,1.0,1.0,1.0,1.0,1.0	-0.066
NA,0.0,0.232,NA,0.0,0.0	0.0,0.0,0.0,0.0,0.0,NA	0.058
0.994,0.996,0.991,0.986,0.983,0.98	1.0,1.0,0.996,1.0,0.994,1.0	-0.01
0.029,0.119,0.088,0.038,0.068,0.101	0.0,0.0,0.0,0.061,0.072,0.0	0.052
0.966,1.0,1.0,0.975,0.987,1.0	0.986,1.0,0.992,1.0,0.969,0.966	0.002
0.011,0.006,0.007,0.016,0.018,0.011	0.046,0.097,0.037,0.077,0.079,0.084	-0.059
0.003,0.006,0.001,0.004,0.004,0.005	0.002,0.0,0.002,0.011,0.0,0.003	0.001
1.0,1.0,1.0,1.0,1.0,1.0	0.869,1.0,0.855,0.977,0.831,0.577	0.148
0.744,0.814,0.834,0.819,0.778,0.684	0.854,0.724,0.929,0.9,0.846,0.846	-0.071
1.0,1.0,NA,1.0,1.0,1.0	0.686,1.0,1.0,1.0,1.0,1.0	0.052
0.055,0.099,0.074,0.043,0.108,0.085	0.056,0.014,0.057,0.089,0.068,0.091	0.015
0.984,0.949,0.967,0.95,0.965,0.96	0.961,0.878,0.898,0.874,0.902,0.975	0.048
0.307,0.417,0.361,0.49,0.426,0.356	0.689,0.738,0.725,0.86,0.84,0.866	-0.394
0.183,0.19,0.161,0.148,0.224,0.193	0.092,0.058,0.039,0.136,0.076,0.177	0.087
0.312,0.0,0.0,0.0,0.0,0.0	0.0,NA,0.0,0.0,0.0,0.0	0.052
0.116,0.101,0.089,0.088,0.099,0.068	0.032,0.077,0.07,0.065,0.084,0.112	0.02
0.0,0.0,0.0,0.0,0.156,0.0	0.0,0.806,0.357,0.425,0.481,1.0	-0.485
0.862,0.859,0.898,0.823,0.874,0.884	0.566,0.418,0.472,0.394,0.474,0.484	0.399
0.937,0.937,0.951,0.95,0.918,0.976	0.554,0.525,0.332,0.583,0.488,0.688	0.417
1.0,1.0,1.0,0.982,0.984,0.987	1.0,1.0,1.0,1.0,1.0,1.0	-0.008
1.0,1.0,0.791,0.858,1.0,1.0	0.831,1.0,1.0,1.0,0.924,1.0	-0.018
1.0,1.0,1.0,1.0,0.982,1.0	0.959,0.965,0.935,0.975,0.969,0.922	0.043
0.037,0.009,0.031,0.01,0.014,0.049	0.028,0.037,0.01,0.012,0.017,0.05	-0.001
0.037,0.028,0.021,0.042,0.016,0.034	0.02,0.017,0.016,0.025,0.015,0.009	0.013
1.0,0.0,0.0,0.0,NA,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.2
0.004,0.001,0.002,0.0,0.0,0.003	0.002,0.002,0.002,0.003,0.004,0.0	-0.001
0.589,0.502,0.475,0.488,0.522,0.41	0.627,0.7,0.717,0.51,0.599,0.588	-0.126
1.0,1.0,1.0,1.0,1.0,1.0	0.629,1.0,1.0,1.0,1.0,NA	0.074
1.0,0.113,0.215,0.0,0.079,0.0	0.0,0.176,0.561,0.0,0.0,0.0	0.112
0.445,0.387,0.463,0.436,0.49,0.456	0.456,0.445,0.467,0.411,0.477,0.413	0.001
0.024,0.035,0.019,0.022,0.032,0.032	0.0,0.068,0.0,0.054,0.041,0.094	-0.015
0.16,0.199,0.184,0.245,0.196,0.16	0.289,0.259,0.32,0.308,0.314,0.304	-0.108
1.0,1.0,1.0,0.95,0.985,1.0	0.98,0.923,0.982,1.0,1.0,1.0	0.008
0.002,0.019,0.009,0.019,0.013,0.012	0.007,0.005,0.012,0.009,0.007,0.025	0.001
1.0,0.965,0.971,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.011
1.0,0.989,1.0,1.0,0.987,0.983	1.0,1.0,0.984,1.0,1.0,1.0	-0.004
0.916,0.949,0.925,0.935,0.906,0.892	0.953,1.0,1.0,0.965,0.948,1.0	-0.057
0.054,0.009,0.055,0.071,0.009,0.01	0.041,0.043,0.036,0.008,0.022,0.078	-0.003
0.019,0.026,0.0,0.0,0.006,0.03	0.012,0.0,0.023,0.022,0.01,0.043	-0.005
0.83,0.911,0.775,0.825,0.841,0.81	0.906,0.936,0.918,0.882,0.927,0.943	-0.087
0.032,0.017,0.021,0.006,0.028,0.016	0.017,0.031,0.039,0.046,0.035,0.025	-0.012
0.993,1.0,0.989,1.0,0.993,0.995	1.0,1.0,1.0,1.0,1.0,1.0	-0.005
0.741,0.84,0.832,0.851,0.82,0.799	0.815,0.856,0.837,0.783,0.798,0.737	0.009
1.0,0.818,0.787,1.0,0.72,1.0	1.0,1.0,1.0,0.917,1.0,0.704	-0.049
0.004,0.013,0.009,0.008,0.015,0.03	0.004,0.022,0.015,0.014,0.015,0.014	-0.001
0.001,0.005,0.001,0.005,0.003,0.001	0.025,0.013,0.015,0.019,0.011,0.019	-0.014
0.997,0.997,1.0,0.997,1.0,0.999	0.996,1.0,0.998,0.988,0.997,1.0	0.002
1.0,1.0,0.953,0.85,1.0,1.0	0.915,0.876,1.0,0.891,1.0,1.0	0.02
0.847,0.815,0.847,0.912,0.759,0.807	0.865,0.886,0.957,0.835,0.905,0.876	-0.056
1.0,0.772,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.038
0.963,0.897,0.961,1.0,0.895,0.884	1.0,1.0,0.926,1.0,1.0,1.0	-0.054
1.0,0.954,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.008
0.011,0.005,0.016,0.002,0.013,0.004	0.005,0.003,0.006,0.009,0.013,0.01	0.001
0.0,0.0,0.0,0.006,0.011,0.0	0.0,0.0,0.011,0.022,0.009,0.0	-0.004
1.0,1.0,1.0,1.0,0.85,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.025
0.737,0.619,0.724,0.649,0.608,0.622	0.43,0.442,0.421,0.416,0.416,0.389	0.241
0.004,0.019,0.015,0.003,0.002,0.026	0.014,0.014,0.006,0.011,0.003,0.0	0.004
1.0,0.995,0.997,1.0,0.987,0.989	1.0,0.996,0.994,0.994,1.0,0.995	-0.002
0.049,0.038,0.033,0.028,0.036,0.028	0.027,0.013,0.018,0.028,0.019,0.046	0.01
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.986,1.0	0.002
0.004,0.004,0.003,0.005,0.004,0.005	0.006,0.005,0.004,0.004,0.005,0.006	-0.001
1.0,1.0,0.999,1.0,0.999,1.0	0.999,0.998,1.0,1.0,0.999,1.0	0.0
1.0,1.0,1.0,1.0,0.896,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.017
0.956,0.984,1.0,1.0,1.0,0.954	1.0,1.0,0.91,1.0,1.0,1.0	-0.003
0.469,0.445,0.432,0.483,0.453,0.47	0.422,0.366,0.528,0.461,0.469,0.523	-0.003
0.0,0.0,0.0,0.0,0.001,0.0	0.0,0.0,0.001,0.001,0.001,0.0	-0.0
0.247,0.225,0.265,0.245,0.246,0.234	0.157,0.162,0.139,0.166,0.156,0.157	0.087
0.006,0.008,0.021,0.007,0.015,0.015	0.011,0.0,0.003,0.01,0.017,0.013	0.003
1.0,1.0,1.0,1.0,1.0,0.928	0.969,0.921,1.0,1.0,1.0,1.0	0.006
1.0,1.0,1.0,1.0,1.0,0.866	0.935,0.852,1.0,1.0,1.0,1.0	0.013
0.278,0.277,0.255,0.392,0.254,0.286	0.265,0.281,0.411,0.298,0.313,0.416	-0.04
0.445,0.314,0.439,0.732,0.562,0.268	0.516,0.54,0.673,0.495,0.454,0.128	-0.008
1.0,1.0,1.0,0.979,0.986,0.981	1.0,1.0,1.0,1.0,1.0,1.0	-0.009
0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.001,0.0,0.0,0.0,0.0	-0.0
0.441,0.441,0.0,0.0,0.441,0.165	0.0,0.0,NA,NA,0.136,1.0	-0.036
1.0,0.5,0.82,0.548,1.0,0.82	0.645,1.0,0.747,1.0,0.864,0.784	-0.059
0.802,0.952,0.966,0.967,0.779,0.931	0.88,0.849,0.734,1.0,0.903,1.0	0.005
1.0,1.0,1.0,0.975,1.0,1.0	0.897,1.0,1.0,1.0,0.891,1.0	0.031
0.133,0.286,0.157,0.565,0.21,0.09	0.0,0.088,0.14,0.373,0.133,0.088	0.103
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.999	0.0
0.001,0.002,0.004,0.003,0.003,0.002	0.003,0.002,0.002,0.001,0.002,0.001	0.001
NA,1.0,NA,1.0,NA,NA	0.0,NA,NA,NA,NA,NA	1.0
0.0,0.047,0.0,0.051,0.037,0.0	0.0,0.0,0.0,0.025,0.021,0.0	0.015
0.334,0.327,0.303,0.279,0.226,0.227	0.225,0.427,0.372,0.388,0.261,0.323	-0.05
0.572,1.0,1.0,0.626,1.0,0.25	0.401,1.0,NA,0.0,0.667,0.0	0.328
0.543,0.625,0.471,1.0,0.322,0.714	1.0,1.0,1.0,1.0,1.0,1.0	-0.387
0.048,0.021,0.0,0.075,0.009,0.013	0.07,0.044,0.0,0.055,0.122,0.0	-0.021
0.279,0.44,0.188,0.632,0.486,0.3	0.25,0.212,0.058,0.462,0.546,0.0	0.133
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.728,NA	0.054
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.671,1.0	0.055
0.797,0.694,0.721,0.71,0.771,0.739	0.476,0.254,0.389,0.377,0.45,0.577	0.318
0.0,0.09,0.09,0.0,0.0,0.0	0.0,NA,0.0,0.0,0.0,NA	0.03
1.0,0.999,0.999,0.996,0.998,0.998	0.999,0.998,0.999,0.998,0.999,1.0	-0.0
0.97,0.955,0.949,0.967,0.961,0.96	0.956,0.96,0.976,0.964,0.963,0.964	-0.003
0.995,0.999,0.994,0.995,0.996,0.997	0.997,0.994,0.993,0.998,0.995,0.995	0.001
0.995,0.999,0.995,0.995,0.996,0.997	0.997,0.995,0.993,0.998,0.995,0.995	0.001
0.991,0.99,1.0,0.981,0.996,1.0	0.987,0.993,0.987,1.0,0.993,1.0	-0.0
1.0,0.998,0.998,0.998,0.999,1.0	1.0,0.998,0.996,1.0,0.998,0.998	0.0
1.0,0.998,0.998,0.998,0.999,1.0	1.0,0.998,0.997,1.0,0.998,0.998	0.0
0.996,1.0,1.0,0.989,0.998,0.997	0.998,1.0,1.0,0.997,1.0,1.0	-0.003
0.062,0.094,0.064,0.063,0.079,0.085	0.025,0.027,0.033,0.008,0.024,0.028	0.05
0.266,0.335,0.312,0.265,0.246,0.281	0.102,0.042,0.129,0.021,0.105,0.094	0.202
0.024,0.009,0.006,0.025,0.007,0.024	0.018,0.022,0.0,0.021,0.024,0.012	-0.0
0.359,0.346,0.283,0.436,0.421,0.421	0.122,0.084,0.251,0.134,0.101,0.031	0.257
0.95,1.0,0.975,0.992,0.995,1.0	1.0,0.967,0.994,0.994,0.962,1.0	-0.001
0.016,0.02,0.042,0.018,0.025,0.044	0.023,0.022,0.025,0.009,0.052,0.022	0.002
0.1,0.057,0.046,0.191,0.138,0.0	0.115,0.046,0.077,0.039,0.097,0.1	0.01
0.011,0.041,0.05,0.03,0.01,0.031	0.033,0.0,0.073,0.044,0.017,0.019	-0.002
1.0,0.854,1.0,1.0,1.0,1.0	1.0,NA,1.0,1.0,1.0,1.0	-0.024
0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.001,0.0,0.0	-0.0
0.06,0.096,0.204,0.113,0.159,0.123	0.319,0.235,0.299,0.055,0.172,0.26	-0.098
0.162,0.525,0.886,0.121,0.44,0.229	0.772,0.592,0.708,0.446,0.842,0.829	-0.304
NA,1.0,NA,1.0,NA,NA	1.0,NA,NA,NA,0.463,NA	0.268
0.984,0.996,0.995,0.987,0.98,0.99	0.983,0.978,0.993,0.995,1.0,0.988	-0.001
0.978,0.957,0.974,0.955,0.977,0.966	1.0,1.0,1.0,0.996,0.993,1.0	-0.03
0.388,0.293,1.0,0.0,0.105,0.246	0.336,0.16,0.202,0.461,0.217,0.0	0.109
1.0,0.969,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.971,1.0	-0.0
0.111,0.166,0.278,0.217,0.26,0.124	0.353,0.357,0.479,0.335,0.454,0.316	-0.19
0.037,0.05,0.044,0.064,0.031,0.039	0.572,0.483,0.404,0.475,0.476,0.6	-0.458
0.384,0.352,0.236,0.234,0.209,0.372	0.2,0.229,0.55,0.337,0.459,0.25	-0.04
0.061,0.102,0.239,0.254,0.058,0.175	0.131,0.203,0.185,0.29,0.115,0.312	-0.058
0.992,1.0,1.0,0.992,1.0,1.0	0.93,0.94,0.941,0.913,0.968,0.979	0.052
0.0,NA,0.218,0.0,0.0,0.0	0.0,0.0,NA,0.0,0.0,0.0	0.044
1.0,1.0,0.936,0.946,1.0,0.955	1.0,1.0,1.0,1.0,1.0,1.0	-0.027
0.109,0.162,0.059,0.09,0.148,0.083	0.096,0.0,0.182,0.112,0.103,0.319	-0.027
1.0,1.0,1.0,1.0,0.99,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
0.008,0.005,0.0,0.006,0.014,0.0	0.014,0.024,0.0,0.011,0.006,0.0	-0.004
0.948,0.926,0.942,0.93,0.908,0.917	0.949,0.948,0.912,0.948,0.952,0.952	-0.015
1.0,0.0,0.26,1.0,0.413,1.0	NA,1.0,1.0,NA,NA,NA	-0.388
0.075,0.05,0.078,0.084,0.058,0.053	0.032,0.049,0.041,0.05,0.048,0.079	0.017
0.045,0.021,0.021,0.021,0.063,0.022	0.022,0.034,0.012,0.025,0.024,0.061	0.003
1.0,1.0,1.0,1.0,0.997,1.0	1.0,1.0,0.986,0.985,0.993,1.0	0.006
0.948,0.943,0.903,0.906,0.934,0.942	0.988,0.993,0.996,1.0,0.988,0.993	-0.064
0.982,0.973,0.963,0.984,0.972,0.991	0.971,0.993,0.966,0.989,0.966,0.979	0.0
0.8,0.892,0.94,0.968,1.0,0.901	1.0,1.0,1.0,1.0,0.891,1.0	-0.065
NA,1.0,0.482,NA,0.0,0.482	NA,NA,NA,NA,1.0,NA	-0.509
0.19,0.033,0.171,0.215,0.169,0.199	1.0,1.0,0.61,0.757,0.763,1.0	-0.692
1.0,0.95,1.0,0.922,0.888,1.0	0.884,1.0,1.0,1.0,1.0,1.0	-0.021
0.58,0.623,0.637,0.577,0.675,0.781	0.447,0.45,0.537,0.6,0.489,0.63	0.12
0.856,0.826,0.774,0.772,0.774,0.755	0.578,0.764,0.92,0.779,0.714,1.0	0.0
0.633,0.697,0.254,0.535,0.514,0.5	0.526,0.658,0.925,0.804,0.658,1.0	-0.24
0.043,0.24,0.026,0.16,0.146,0.036	0.438,0.335,0.55,0.574,0.407,0.391	-0.341
0.0,0.005,0.019,0.031,0.017,0.007	0.016,0.011,0.0,0.02,0.005,0.048	-0.003
0.427,0.346,0.481,0.398,0.333,0.327	0.189,0.233,0.158,0.266,0.263,0.31	0.149
1.0,0.473,0.473,NA,0.729,1.0	NA,NA,NA,0.0,NA,NA	0.735
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.975,1.0,1.0	0.004
0.483,0.264,0.494,0.302,0.366,0.574	0.033,0.051,0.026,0.031,0.038,0.0	0.384
0.379,0.78,0.582,0.57,0.695,0.474	0.813,0.558,0.823,0.833,0.676,0.603	-0.138
0.386,0.755,0.591,0.653,0.71,0.593	0.843,0.574,0.865,0.852,0.72,0.702	-0.145
0.525,0.287,0.518,0.744,0.575,0.795	1.0,1.0,1.0,0.879,0.897,1.0	-0.389
0.0,0.0,0.065,0.0,0.032,0.0	0.0,0.031,0.049,0.0,0.0,0.065	-0.008
0.171,0.325,0.352,0.078,0.066,0.236	0.14,0.176,0.581,0.117,0.248,0.425	-0.077
1.0,1.0,1.0,1.0,1.0,0.661	1.0,NA,NA,1.0,NA,NA	-0.057
0.012,0.012,0.005,0.01,0.0,0.015	0.0,0.0,0.014,0.0,0.0,0.0	0.007
1.0,1.0,1.0,1.0,0.906,1.0	0.651,1.0,1.0,1.0,1.0,1.0	0.042
1.0,1.0,1.0,1.0,0.12,0.0	1.0,0.489,0.17,0.0,1.0,1.0	0.077
0.031,0.069,0.049,0.066,0.013,0.0	0.042,0.107,0.014,0.0,0.041,0.204	-0.03
0.12,0.112,0.083,0.156,0.123,0.135	0.0,0.02,0.029,0.0,0.0,0.04	0.107
0.0,0.049,0.08,0.0,0.018,0.053	0.0,0.163,0.0,0.0,0.081,0.0	-0.007
0.241,0.389,0.424,0.349,0.396,0.4	0.214,0.14,0.177,0.207,0.134,0.237	0.182
1.0,1.0,1.0,0.905,1.0,1.0	1.0,0.843,1.0,1.0,1.0,1.0	0.01
0.056,0.183,0.3,0.09,0.137,0.176	0.416,0.416,0.6,0.423,0.276,0.0	-0.198
0.868,0.917,0.981,0.784,0.911,0.978	0.933,0.895,0.942,0.899,0.914,0.943	-0.014
0.042,0.026,0.009,0.0,0.012,0.02	0.047,0.0,0.0,0.02,0.022,0.0	0.003
0.0,0.0,1.0,0.0,0.0,0.0	0.482,0.0,NA,0.0,0.0,NA	0.046
0.069,0.036,0.08,0.141,0.05,0.112	0.3,0.232,0.161,0.29,0.123,0.207	-0.138
0.934,0.957,0.949,0.873,0.987,0.855	0.971,1.0,0.986,0.973,0.985,0.973	-0.055
0.0,0.156,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.026
1.0,NA,0.482,0.482,0.482,0.482	0.0,0.0,0.271,0.651,0.651,1.0	0.157
0.297,0.22,0.22,0.297,0.458,0.195	0.458,NA,1.0,1.0,1.0,1.0	-0.61
0.0,0.231,0.231,0.311,0.475,0.205	0.644,1.0,1.0,1.0,1.0,NA	-0.687
0.006,0.002,0.011,0.001,0.009,0.008	0.009,0.0,0.005,0.009,0.001,0.009	0.001
0.329,0.061,0.14,0.211,0.078,0.091	0.16,0.07,0.158,0.208,0.084,0.329	-0.017
0.601,0.611,0.769,0.499,0.666,0.718	0.437,0.321,0.383,0.275,0.674,0.275	0.25
0.296,0.245,0.513,0.0,0.26,0.424	0.174,0.053,0.0,0.029,0.359,0.0	0.187
0.217,0.146,0.179,0.0,0.127,0.13	0.0,0.0,0.0,0.0,0.0,0.0	0.133
0.0,0.03,0.0,0.0,0.017,0.0	0.0,0.0,0.0,0.018,0.026,0.0	0.0
1.0,0.97,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.917,1.0,1.0	0.009
0.122,0.041,0.094,0.108,0.111,0.108	0.254,0.381,0.215,0.249,0.236,0.182	-0.155
0.569,0.674,0.616,0.642,0.751,0.653	1.0,1.0,0.637,1.0,1.0,1.0	-0.289
1.0,0.897,0.956,1.0,0.943,1.0	0.897,1.0,1.0,0.971,1.0,1.0	-0.012
0.912,0.986,0.984,0.958,0.984,0.947	1.0,0.947,0.979,1.0,1.0,1.0	-0.026
1.0,1.0,1.0,1.0,1.0,0.46	1.0,1.0,0.82,0.799,1.0,0.63	0.035
0.964,0.963,0.889,0.912,0.944,0.977	1.0,0.91,0.928,0.948,1.0,1.0	-0.023
0.0,0.0,0.138,0.0,0.108,0.491	NA,0.0,0.0,0.0,0.0,NA	0.123
0.757,0.821,0.837,0.654,0.821,0.826	0.879,0.823,0.929,0.796,0.928,0.915	-0.092
0.0,0.0,0.012,0.016,0.0,0.0	0.0,0.0,0.014,0.0,0.0,0.0	0.002
0.0,0.0,0.028,0.0,0.0,0.028	0.0,0.11,0.0,0.0,0.0,0.0	-0.009
0.7,0.808,1.0,0.894,0.824,0.747	0.318,1.0,1.0,1.0,1.0,1.0	-0.057
0.0,0.0,0.0,0.021,0.0,0.0	0.0,0.075,0.022,0.0,0.022,0.0	-0.016
0.041,0.059,0.015,0.021,0.028,0.038	0.035,0.021,0.023,0.04,0.033,0.018	0.005
0.005,0.002,0.003,0.008,0.008,0.004	0.009,0.006,0.006,0.01,0.004,0.007	-0.002
0.0,0.0,0.0,0.0,0.0,0.01	0.0,0.029,0.0,0.009,0.0,0.0	-0.005
0.0,0.493,NA,NA,1.0,1.0	0.327,NA,NA,1.0,NA,1.0	-0.152
0.079,0.027,0.032,0.043,0.035,0.07	0.038,0.123,0.036,0.0,0.0,0.0	0.015
0.863,0.841,0.819,0.832,0.933,0.776	0.939,0.837,0.878,1.0,0.922,0.863	-0.063
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.828,1.0	0.029
0.348,0.282,0.319,0.324,0.347,0.239	0.202,0.248,0.295,0.312,0.32,0.449	0.006
1.0,1.0,NA,1.0,NA,1.0	NA,0.594,NA,0.661,0.745,NA	0.333
1.0,0.987,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
0.97,1.0,1.0,1.0,0.911,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.02
1.0,1.0,1.0,0.996,1.0,1.0	1.0,1.0,1.0,1.0,0.995,1.0	0.0
1.0,1.0,0.947,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.009
0.404,0.458,0.592,0.225,0.521,0.592	0.232,0.172,0.266,0.547,0.563,0.088	0.154
0.252,0.16,0.161,0.158,0.137,0.131	0.14,0.221,0.176,0.183,0.211,0.161	-0.015
0.072,0.09,0.146,0.299,0.157,0.281	0.039,0.089,0.086,0.176,0.082,0.332	0.04
0.103,0.081,0.209,0.165,0.142,0.152	0.067,0.055,0.13,0.188,0.117,0.128	0.028
0.704,0.48,0.715,0.305,0.599,0.305	1.0,0.345,0.664,0.605,0.704,0.209	-0.07
0.322,0.24,1.0,0.0,NA,0.0	NA,0.0,0.0,0.0,NA,NA	0.312
0.705,0.818,0.821,0.782,0.893,0.754	0.968,0.782,1.0,1.0,0.962,1.0	-0.156
1.0,1.0,0.993,1.0,1.0,1.0	1.0,1.0,0.989,0.977,1.0,0.982	0.008
0.091,0.209,0.074,0.05,0.127,0.112	0.162,0.178,0.182,0.191,0.192,0.199	-0.074
