ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	0,1	95,144	0,0	109,124	198	198	1	1.0
1	58,60	95,144	52,58	109,124	198	198	1	1.0
2	8,13	70,129	14,13	74,98	180	180	1	1.0
4	82,122	112,205	39,92	64,152	176	198	1	1.0
5	239,308	197,271	346,312	256,282	198	166	1	1.0
6	222,364	261,387	522,701	572,699	181	168	1	1.0
8	406,664	32,51	475,634	48,59	166	117	1	1.0
9	361,634	312,449	565,575	372,498	174	147	1	1.0
11	28,38	30,65	45,49	76,58	138	156	1	1.0
12	315,480	195,260	365,446	187,255	198	165	1	1.0
13	21,34	70,90	24,38	89,116	119	152	1	1.0
14	116,176	139,191	176,168	214,188	197	175	1	1.0
15	79,123	138,262	159,166	255,341	170	198	1	1.0
17	46,64	66,115	71,94	118,84	148	198	1	1.0
18	1291,1846	1309,1869	1330,1685	1344,1775	173	159	1	1.0
19	19,32	40,58	44,41	51,54	198	198	0.880711509252	1.0
20	274,352	350,570	555,465	713,684	198	198	1	1.0
21	24,46	81,85	15,50	76,71	143	198	1	1.0
22	588,979	322,562	723,984	447,601	170	180	1	1.0
23	327,500	159,289	418,523	243,328	180	143	1	1.0
24	51,82	58,78	69,82	103,81	159	159	1	1.0
25	69,112	91,118	77,111	98,140	198	189	1	1.0
26	139,212	1,10	256,323	10,20	198	198	1	1.0
27	0,8	1,1	0,4	1,1	159	152	0.871572878851	1.0
28	2,0	3,1	4,8	10,5	192	192	0.163093641558	1.0
29	76,92	52,95	92,61	65,67	167	188	1	1.0
30	333,525	1617,2519	384,616	1678,2788	173	198	1	1.0
31	93,213	254,444	180,208	381,442	131	198	1	1.0
32	20,47	159,257	61,68	205,221	198	162	1	1.0
33	24,24	249,349	46,53	281,405	133	162	1	1.0
34	75,121	138,266	101,100	167,192	198	197	1	1.0
35	4,0	18,14	1,5	13,18	198	198	1	1.0
36	20,32	598,1078	22,31	652,847	137	198	1	1.0
37	98,191	82,139	174,247	138,163	198	198	1	1.0
38	156,208	39,73	220,199	56,55	184	143	1	1.0
39	109,211	60,99	160,247	59,61	143	162	1	1.0
40	99,150	175,343	139,109	280,387	162	159	1	1.0
41	46,69	27,41	61,48	44,27	198	198	1	1.0
42	32,48	54,116	30,40	100,124	165	198	1	1.0
43	1348,2158	2151,3283	1237,1638	1865,2594	159	192	1	1.0
44	36,44	7,16	26,23	9,10	198	107	1	1.0
45	35,54	7,16	29,27	9,10	198	107	1	1.0
46	30,56	7,16	55,46	9,10	198	107	1	1.0
47	29,31	22,38	25,23	40,32	168	168	0.940844447412	1.0
48	11,10	9,9	14,27	9,11	198	174	0.643212526131	1.0
49	185,384	307,552	221,324	447,486	152	192	1	1.0
50	212,249	121,158	160,226	111,109	151	138	1	1.0
51	57,82	669,921	43,53	375,619	108	198	1	1.0
53	118,241	156,274	163,229	219,264	167	198	1	1.0
54	51,55	69,127	32,41	89,90	135	183	1	1.0
55	3,0	69,127	1,1	89,90	150	183	1	1.0
56	61,85	23,31	80,63	50,25	180	138	1	1.0
57	123,210	160,297	119,222	229,351	161	198	1	1.0
58	26,32	31,42	48,48	89,90	140	164	1	1.0
60	4,14	1,3	11,4	1,1	198	198	1	1.0
61	243,312	83,142	298,339	114,137	152	128	1	1.0
62	1062,1495	1274,1863	1151,1261	1489,1689	187	198	1	1.0
63	1307,1877	1380,1957	1331,1584	1401,1805	183	198	1	1.0
64	26,37	39,72	33,66	72,93	171	177	1	1.0
66	124,154	47,93	119,193	81,77	198	160	1	1.0
68	141,169	115,153	148,148	131,124	179	159	1	1.0
69	267,381	242,329	454,455	412,401	162	162	1	1.0
70	53,60	51,54	50,71	55,54	198	198	1	1.0
71	72,105	45,79	88,55	70,45	198	188	1	1.0
73	17,27	108,124	8,7	102,155	198	192	1	1.0
74	4,8	1,0	2,10	0,0	164	152	1	1.0
75	112,155	73,109	111,148	87,124	198	165	1	1.0
76	624,1072	428,767	938,1045	695,754	147	147	1	1.0
77	496,782	1,0	714,739	0,1	147	147	1	1.0
78	0,0	0,1	1,0	0,3	147	147	1	1.0
79	364,615	0,1	518,511	0,3	147	147	1	1.0
80	496,782	666,1041	714,739	954,1013	147	147	1	1.0
81	365,612	665,1046	517,510	954,1016	147	147	1	1.0
82	364,615	0,0	518,511	1,0	147	147	1	1.0
83	12,15	54,77	22,14	51,33	197	148	0.845818382095	1.0
85	185,304	115,211	226,248	155,178	189	165	1	1.0
86	15,27	66,118	9,7	107,90	160	162	0.67981857486	1.0
87	6,15	66,118	0,3	107,90	198	162	1	1.0
88	1,3	38,51	0,0	29,26	158	198	1	1.0
